Person ID,Inscription ID,Role,Notes
athenais,380,Honorand,
unc_herokleitou,381,Honorand,
kl_theophilos,382,Honorand,
kl_sostratos,382,,
t_fl_unc,383,Honorand,
l_pompeius_unc,384,Honorand,
l_pompeius_pompeiou,385,Honorand,
agothokles_agothokleous,386,,
unc_daughter_of_dionysios,387,,
unc_themistokl_unc,388,,
unc_son_of_tryphon_phylasios,389,,
tryphon_phylasios,389,Honorand,
unc_daughter_of_abans_akharneus,389,,
unc_kanephoros_1,394,Honorand,
unc_kl,395,Honorand,
dione,395,,
unc_daughter_of_unc,396,Honorand,
unc_wife_of_metrodoros,397,Sponsor,
metrodoros_metrodorou_2,397,Sponsor,
antio_metrodorou,397,Sponsor,
curtia_straontike,398,Honorand,
kallisto_kallimakhou,399,Honorand,
kallikleia,399,Sponsor,
kallimakhos_1,399,,
areios,399,,
apollonios_apolloniou,400,,
fl_pamphilie,401,,
unc_t,402,Honorand,
unc_eubiou,403,,
unc_son_of_konon,404,,
unc_priestess_of_demeter_and_kore_3,405,,
unc_priestess_of_demeter_and_kore_4,406,,
kl_d_unc,429,,
unc_hearth_initiate_5,431,Honorand,
unc_woman,432,Sponsor,
unc_husband_of_woman,432,Honorand,
hierophantis_perikleous,433a,Honorand,
pose_poseous,433a,Sponsor,
fl_laodameia_kleitou,434,,
fl_laodameia_kleitou,435,,
fl_laodameia_kleitou,436,,
fl_laodameia_kleitou,437,,
fl_laodameia_kleitou,442,,
fl_laodameia_kleitou,445,Sponsor,
fl_laodameia_kleitou,458,,
fl_laodameia_kleitou,433a,,
sotas_unc,434,,
unc_priest,435,Honorand,
ti_kl_herodes_attikos_attikou,438,Honorand,
ti_kl_herodes_attikos_attikou,475,,
ti_kl_herodes_attikos_attikou,476,Sponsor,
ti_kl_herodes_attikos_attikou,477,,
ti_kl_herodes_attikos_attikou,484,Honorand,
ti_kl_herodes_attikos_attikou,498,,
ti_kl_herodes_attikos_attikou,486a,,
kl_attikou,438,,
viboullia_alkia,438,Honorand,
cocceius_censorinus,438,Sponsor,
agrius_saturninus,439,Honorand,
ael_lysistrate,440,Honorand,
unc_husband_of_ael_lysistrate,440,,
athenaios_epaphrodeitos_athenaiou,441,Honorand,
athenaios_perikonikos,441,,
vipsania_lailiane,442,Sponsor,
vipsania_lailiane,455,Honorand,
t_vipsanius_flavianos,442,Honorand,
unc_son_of_heroxenos_marathonios,443,Honorand,
polemon_heroxenou,443,Sponsor,
g_memmius_sabeinos_peisandros,444,Honorand,
thrasyllos_kholleides,445,Honorand,
emperor_hadrian,446,Honorand,
emperor_hadrian,453,Honorand,
emperor_hadrian,502,,
emperor_hadrian,503,,
unc_emperor_2,448,,
unc_emperor_3,449,,
unc_emperor_4,451,,
unc_hierophantis_daughter_of_demetrios,454,,
demetrios,454,,
