ID,Name
2434,t_fl_ateimetos_peiraieus
2435,t_fl_agathonos_peiraieus
2436,onesime_papiou
2437,oapiou_onesimou
2438,onesimou_besaieus
2439,sabeiniane_hamillo
2440,thoinos
2441,ariston
2442,andreas
2443,unc_daughter_of_pythokhrestos_exegete
2444,herennios
2445,unc_daughter_of_kyklobols
2446,unc_memmius
2447,unc_ompeia
2448,unc_emperor_7
2449,unc_p_ail
2450,apollonios_sphettios
2451,lysiades
2452,p_ail_herennia_1
2453,p_ail_apollonios
2454,p_ail_herennia_2
2455,konon
2456,kallimakhos_2
2457,p_ail_dionysos
2458,unc_grandson_of_ti_kl_sospis
2459,ti_kl_lysiades_leonidou
2460,ti_kl_leonides_lysiadou
2461,sekoundos_the_eumolpid
2462,attikos_eudoxou
2463,m_aur_prosdektos_pistokrates
2464,m_gavius_gallicanus
2465,m_gavius_scyillos_1
2466,m_gavius_skyillos_2
2467,p_perennios_ptolemaios
2468,xenagoras_2_xenagorou
2469,xenagoras_1
2470,unc_praxagora
2471,licinius_kallistomakhos
2472,kl_kallistomakhos
2473,emperor_carracalla
2474,emperor_geta
2475,fl_plautianos
2476,hierophant_apollinarios
2477,kl_menandra_2
2478,roupheina
2479,iul_mousonios
2480,iul_hierokeryx
2481,ptolemais_serenou_gaza
2482,aur_magna_1
2483,hermione_2
2484,aur_epaphrodeitos_asklepiadou
2485,aur_magna_2_magnou
2486,aur_paramona_paramonou
2487,aur_deidameia
2488,apollonios_2_apolloniou
2489,arabianus
2490,eutykhos
2491,dryantianos
2492,honoratiane_polykharmis_polykharmou
2493,unc_fabius
2494,flavia_prokleiane
2495,fabius_demetrios
2496,fabius_aemelianos
2497,fabius_proclus
2498,eunnike_kallaiskhros
2499,sedata
2500,polyzelos_xeinagorou
2501,hermippis
2502,m_ulpius_eubiotos_leuros_gargettios
2503,casianus_hierokeryx
2504,t_fl_glaukos_glaukou
2505,emperor_maximinus
2506,iun_themistokles_polykharmidos
2507,perikles
2508,alexander_the_great
2509,unc_hierophant_1
2510,unc_daughter_of_glaukos
2511,nikagoras_hierokeryx
2512,plutarch
2513,sextus
2514,dionysia_hermippidos
2515,unc_relative_of_orator
2516,t_fl_altar_priest
2517,aerarius_sospatros
2518,damoteles
2519,thisbianos
2520,emperor_gallienus
2521,iun_minucianus
2522,p_ail_herennius_dexippos
2523,pyrros
2524,roupheinos
2525,eunike_kallaiskhrou
2526,thaleia
2527,kallaiskhros
2528,eisaios_3
2529,isidote
2530,zoilos
2531,hierophant_glaukos
2532,emperor_diocletian
2533,emperor_maximianus
2534,unc_proconsul
2535,unc_ptolemaios
2536,unc_exegete_of_eumolpidai_4
2537,unc_gn
2538,epigonos
2539,artemisia
2540,unc_emperor_8
2541,t_kl_hierophantes_kallikratidou_trikorysios
