Source,Target,Type,Weight,TimeInterval
2436,2434,Directed,1,"<[250.5, 350]>"
1000,2439,Directed,1,"<[250.5, 350]>"
1001,2439,Directed,1,"<[250.5, 350]>"
1002,2439,Directed,1,"<[250.5, 350]>"
1020,2439,Directed,1,"<[250.5, 350]>"
2453,2452,Directed,1,"<[200.0, 350]>"
2454,2452,Directed,1,"<[200.0, 350]>"
1000,2461,Directed,1,"<[200.0, 350]>"
1013,2463,Directed,1,"<[200.0, 350]>"
2469,2468,Directed,1,"<[313.0, 350]>"
2470,2468,Directed,1,"<[313.0, 350]>"
2471,2472,Directed,1,"<[205.0, 350]>"
1000,2475,Directed,1,"<[204.0, 350]>"
1001,2475,Directed,1,"<[204.0, 350]>"
1002,2475,Directed,1,"<[204.0, 350]>"
1000,2477,Directed,1,"<[210.0, 350]>"
1001,2477,Directed,1,"<[210.0, 350]>"
1002,2477,Directed,1,"<[210.0, 350]>"
1000,2478,Directed,1,"<[217.5, 350]>"
1000,2481,Directed,1,"<[206.5, 350]>"
1000,2482,Directed,1,"<[217.0, 350]>"
2484,2482,Directed,1,"<[217.0, 350]>"
2485,2482,Directed,1,"<[217.0, 350]>"
1001,2486,Directed,1,"<[217.0, 350]>"
1000,2503,Directed,1,"<[236.0, 350]>"
1001,2503,Directed,1,"<[236.0, 350]>"
1002,2503,Directed,1,"<[236.0, 350]>"
1000,2517,Directed,1,"<[275.0, 350]>"
1001,2517,Directed,1,"<[275.0, 350]>"
1002,2517,Directed,1,"<[275.0, 350]>"
1002,2533,Directed,1,"<[295.5, 350]>"
