Source,Target,Timestamp,Type,Weight
1000,2288,<[155.0]>,Directed,1.0
1000,2289,<[155.0]>,Directed,1.0
1000,2300,<[171.0]>,Directed,1.0
1000,2302,<[167.0]>,Directed,1.0
1000,2312,<[166.0]>,Directed,1.0
1000,2318,<[166.0]>,Directed,1.0
1000,2321,<[170.0]>,Directed,1.0
1000,2326,<[170.0]>,Directed,1.0
1000,2328,<[170.0]>,Directed,1.0
1000,2339,<[178.5]>,Directed,1.0
1000,2391,<[187.5]>,Directed,1.0
1000,2417,<[150.5]>,Directed,1.0
1000,2418,<[150.5]>,Directed,1.0
1000,2432,<[150.5]>,Directed,1.0
1000,2434,<[250.5]>,Directed,1.0
1000,2439,<[250.5]>,Directed,1.0
1000,2461,<[200.0]>,Directed,1.0
1000,2475,<[204.0]>,Directed,1.0
1000,2477,<[210.0]>,Directed,1.0
1000,2478,<[217.5]>,Directed,1.0
1000,2481,<[206.5]>,Directed,1.0
1000,2482,<[217.0]>,Directed,1.0
1000,2503,<[236.0]>,Directed,1.0
1000,2517,<[275.0]>,Directed,1.0
1004,2012,<[-73.0]>,Directed,1.0
2155,2156,<[55.0]>,Directed,1.0
1005,2280,<[175.0]>,Directed,1.0
2283,2282,<[175.0]>,Directed,1.0
2160,2159,<[55.0]>,Directed,1.0
1009,2226,<[115.0]>,Directed,1.0
1009,2228,<[115.0]>,Directed,1.0
2291,2290,<[155.0]>,Directed,1.0
2164,2163,<[99.0]>,Directed,1.0
2165,2166,<[65.0]>,Directed,1.0
1012,2325,<[170.0]>,Directed,1.0
1015,2122,<[13.0]>,Directed,1.0
1015,2225,<[125.0]>,Directed,1.0
1015,2321,<[170.0]>,Directed,1.0
2168,2167,"<[77.5, 75.0]>",Directed,1.0
2168,2169,<[77.5]>,Directed,1.0
1017,2225,<[125.0]>,Directed,1.0
2042,2043,<[-40.0]>,Directed,1.0
2042,2044,<[-40.0]>,Directed,1.0
1013,2463,<[200.0]>,Directed,1.0
2172,2171,<[85.0]>,Directed,1.0
2301,2264,<[165.0]>,Directed,1.0
2301,2300,<[165.0]>,Directed,1.0
2174,2173,<[97.5]>,Directed,1.0
