"Sponsor ID","Honorand ID","Inscription ID","Sponsor Name","Sponsor Category","Sponsor Origin","Sponsor Gender","Sponsor Type","Sponsor Class","Sponsor Athenian Citizenship","Sponsor Roman Citizenship","Sponsor Family","Sponsor Extended Family","Sponsor Demotic","Sponsor Uncertain Person","Honorand Name","Honorand Category","Honorand Origin","Honorand Gender","Honorand Type","Honorand Class","Honorand Athenian Citizenship","Honorand Roman Citizenship","Honorand Family","Honorand Extended Family","Honorand Uncertain Person","Honorand Demotic","Inscription","Object Type","Inscription Type","Likely Site","Date","Date Span"
"1000","2122","324","Areopagus","Athenian","Athens","","Public","Institution","","","","","","","Pammenes Pammenous","Athenian","Athens","Male","","Person","t","f","","","f","","Statue Base for Pammenes Pammenous Marathonios, Exegete of the Eumolpidai","Base","Dedication","Before the Telestrion","13","24"
"1002","2123","325","Demos","Athenian","Athens","","Public","Institution","","","","","","","Hierophantis Mos[kh.]","Athenian","Athens","Female","","Person","t","f","","","t","","Statue Base for a Unknown Hierophantis","Base","Dedication","","13","24"
"1002","2124","327","Demos","Athenian","Athens","","Public","Institution","","","","","","","Antamenes Leontikhou","Athenian","Athens","Male","","Person","t","f","","","f","","Statue Base for Antamenes Leontichou Epieikides","Base","Dedication","Outer Courtyard","13","24"
"1000","2124","327","Areopagus","Athenian","Athens","","Public","Institution","","","","","","","Antamenes Leontikhou","Athenian","Athens","Male","","Person","t","f","","","f","","Statue Base for Antamenes Leontichou Epieikides","Base","Dedication","Outer Courtyard","13","24"
"1001","2127","329","Boule","Athenian","Athens","","Public","Institution","","","","","","","[O?]knia Polykharmou","Athenian","Athens","Female","","Person","f","f","","","t","","Statue Base for an Unknown Hearth-Initiate, Daughter of Polycharmos of Azenia","Other/Fragment","Dedication","","-6.5","41"
"1002","2128","330","Demos","Athenian","Athens","","Public","Institution","","","","","","","Polykharmos Polykritos","Athenian","Athens","Male","","Person","t","f","","","f","","Statue Base for Polycharmos Polykritou Azenieus","Base","Dedication","","-6.5","41"
"1001","2128","329","Boule","Athenian","Athens","","Public","Institution","","","","","","","Polykharmos Polykritos","Athenian","Athens","Male","","Person","t","f","","","f","","Statue Base for an Unknown Hearth-Initiate, Daughter of Polycharmos of Azenia","Other/Fragment","Dedication","","-6.5","41"
"1002","2129","334","Demos","Athenian","Athens","","Public","Institution","","","","","","","Emperor Tiberius","Imperial Family Member","Rome","Male","","Person","f","t","","","f","","Monument for Emperor Tiberius","Base","Dedication","","20","10"
"1001","2129","334","Boule","Athenian","Athens","","Public","Institution","","","","","","","Emperor Tiberius","Imperial Family Member","Rome","Male","","Person","f","t","","","f","","Monument for Emperor Tiberius","Base","Dedication","","20","10"
"1000","2129","334","Areopagus","Athenian","Athens","","Public","Institution","","","","","","","Emperor Tiberius","Imperial Family Member","Rome","Male","","Person","f","t","","","f","","Monument for Emperor Tiberius","Base","Dedication","","20","10"
