Institution: Title,Institution: Origin,Institution: Type,Co-Appearing Person: Description,Co-Appearing Person: Origin,Co-Appearing Person: Gender,Co-Appearing Person: Name(s),Co-Appearing Person: Deme,Co-Appearing Person: Athenian Citizen,Co-Appearing Person: Roman Citizen,Co-Appearing Person: Family,Co-Appearing Person: Extended Family,Inscription: IE,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Institution: Total Appearances,Institution: Total Offices,Institution: Total Office Appearances,Institution: Total Officers,Institution: Total Officer Appearances,Institution: Total People Co-Appearances,Institution: Total Institutional Co-Appearances,Institution: Total Honors Co-Appearances,Institution: Total People Co-Appearances with Officers,Institution: Total Institutional Co-Appearances with Officers,Co-Appearing Person: Total Appearances,Co-Appearing Person: Total Sponsors,Co-Appearing Person: Total Honorands,Co-Appearing Person: Total Officers,Co-Appearing Person: Total Institutional Affililiations,Co-Appearing Person: Total Honors,Co-Appearing Person: Total Athenian Honors,Co-Appearing Person: Total Roman Honors,Co-Appearing Person: Total Eleusinian Honors,Co-Appearing Person: RCA,Co-Appearing Person: PA,Co-Appearing Person: PAA,Co-Appearing Person: LGPN,Co-Appearing Person: Uncertain,Inscription: Character Count,Inscription: Diplomatic Character Count,Inscription: Word Count,Inscription: Diplomatic Word Count,Inscription: Total Institutions,Inscription: Total Honors,Inscription: Total People,Inscription: Total Sponsors,Inscription: Total Honorands,Inscription: Total Athenians,Inscription: Total Romans,Institution: ID,Co-Appearing Person: ID,Inscription: ID,Institution: Notes,Co-Appearing Person: Notes,Inscription: Notes
Areopagus,Athens,Public,Thrasyllos Ammoniou,Athens,Male,Thrasyllos Ammoniou,,True,False,,,377,Statue Base for the Unknown Wife of Ammonios of Kholleidai,Base,Dedication,,87.5,25,0.0190,84,7,68,43,56,151,203,164,274,104,1,0,1,,1,1,1,0,0,,,,,False,173,121,41,30,1,1,3,1,1,3,0,1000,2182,377,,,
Areopagus,Athens,Public,Thrasyllos Ammoniou,Athens,Male,Thrasyllos Ammoniou,,True,False,,,377,Statue Base for the Unknown Wife of Ammonios of Kholleidai,Base,Dedication,,87.5,25,0.0190,84,7,68,43,56,151,203,164,274,104,1,0,1,,1,1,1,0,0,,,,,False,173,121,41,30,1,1,3,1,1,3,0,1000,2182,377,,,
Areopagus,Athens,Public,Eraton Eratonos,Athens,Male,Eraton Eratonos,,True,False,,,378,Statue Base for Eraton Eratonos Besaieus,Base,Dedication,,50.5,99,0.0280,84,7,68,43,56,151,203,164,274,104,1,2,0,,0,0,0,0,0,,,,,False,75,60,23,18,2,0,1,2,1,1,0,1000,2183,378,,,
Areopagus,Athens,Public,T. Fl [?],Athens,Uncertain,,,False,False,,,383,Statue Base for a T. Flavius,Building or Monument,Dedication,,50.5,99,0.0130,84,7,68,43,56,151,203,164,274,104,1,3,0,,0,0,0,0,0,,,,,True,56,32,21,10,3,0,1,3,1,1,0,1000,2189,383,,,
Areopagus,Athens,Public,[?] Daughter of [A?]bans Akharneus,Athens,Female,,Akharnai,True,False,,,389,Son of Tryphon Phylasios,Building or Monument,Dedication,,50.5,99,0.0900,84,7,68,43,56,151,203,164,274,104,1,0,0,,0,0,0,0,0,,,,,False,171,46,55,14,3,0,3,3,1,3,0,1000,2197,389,,,
Areopagus,Athens,Public,[?] Daughter of [A?]bans Akharneus,Athens,Female,,Akharnai,True,False,,,389,Son of Tryphon Phylasios,Building or Monument,Dedication,,50.5,99,0.0900,84,7,68,43,56,151,203,164,274,104,1,0,0,,0,0,0,0,0,,,,,False,171,46,55,14,3,0,3,3,1,3,0,1000,2197,389,,,
Areopagus,Athens,Public,[?] Daughter of [A?]bans Akharneus,Athens,Female,,Akharnai,True,False,,,389,Son of Tryphon Phylasios,Building or Monument,Dedication,,50.5,99,0.0900,84,7,68,43,56,151,203,164,274,104,1,0,0,,0,0,0,0,0,,,,,False,171,46,55,14,3,0,3,3,1,3,0,1000,2197,389,,,
Areopagus,Athens,Public,T. [?],Other/Uncertain,Uncertain,,,True,True,,,402,Statue Base for an Unknown Individual,Base,Dedication,,100.5,199,0.0310,84,7,68,43,56,151,203,164,274,104,1,3,0,,0,0,0,0,0,,,,,True,55,14,23,10,3,0,1,3,1,0,0,1000,2212,402,,,
Areopagus,Athens,Public,Agrius Saturninus,Rome,Male,Agrius Saturninus,,False,True,,,439,Statue Base for Agrius Saturninus,Base,Dedication,Before the Telestrion,122.0,10,0.0250,84,7,68,43,56,151,203,164,274,104,1,1,0,,0,1,0,1,0,,,,,False,161,133,42,29,1,1,1,1,1,0,1,1000,2230,439,,,
Areopagus,Athens,Public,L. P[?] Husband of Ael. Lysistrate,Athens,Male,Lucius,,True,True,,TBD,440,Dedicatory Base in Honor of Ael. Lysistrate,Base,Dedication,,122.0,10,,84,7,68,43,56,151,203,164,274,104,1,0,0,,0,0,0,0,0,,,,,True,83,48,33,18,3,1,2,3,1,2,0,1000,2232,440,,,
Areopagus,Athens,Public,L. P[?] Husband of Ael. Lysistrate,Athens,Male,Lucius,,True,True,,TBD,440,Dedicatory Base in Honor of Ael. Lysistrate,Base,Dedication,,122.0,10,,84,7,68,43,56,151,203,164,274,104,1,0,0,,0,0,0,0,0,,,,,True,83,48,33,18,3,1,2,3,1,2,0,1000,2232,440,,,
