Inscription: IE,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Public Sponsors,Inscription: Notes
406,Statue Base for an Unknown Individual,Base,Dedication,,150.5,299,0.0280,,
407,Statue Base for an Unknown Individual,Base,Dedication,,150.5,299,0.0320,,
408,Dedicatory Base for an Unknown Figure,Base,Dedication,,150.5,299,0.0295,,
409,Statue Base(?) for Unknown,Altar,Other/Uncertain,,150.5,299,0.0480,,
410,Statue Base(?) For Unknown,Base,Dedication,,150.5,299,0.0680,Areopagus & Demos,
411,Monument Dedicated by an Unknown Party,Base,Other/Uncertain,,150.5,299,0.0530,,
412,Statue Base for an Unknown Individual,Altar,Dedication,,150.5,299,0.0300,,
413,Statue Base for an Unknown Individual,Base,Dedication,,150.5,299,0.0220,,
414,Statue Base for an Unknown Individual,Other/Fragment,Dedication,,150.5,299,0.0250,"Areopagus, Boule, & Demos",
415,Statue Base for an Unknown Individaul,Base,Dedication,,150.5,299,0.0370,,
416,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,,150.5,299,0.0130,,
417,Statue Base(?) for an Unknown Individual,Base,Dedication,,150.5,299,0.0300,,
418,Statue Base for an Unknown Individual,Base,Dedication,,150.5,299,0.0260,,
419,Statue Base for an Unknown Individual,Base,Dedication,,150.5,299,0.0300,,
420,Statue Base(?) for an Unknown Individual,Base,Dedication,,150.5,299,0.0690,,
421,Statue Base for an Unknown Individual,Altar,Dedication,,150.5,299,0.0260,Demos,
422,Statue Base for an Unknown Emperor,Altar,Dedication,,150.5,299,0.0400,,
423,Statue Base for an Unknown Individual,Base,Dedication,,150.5,299,0.0700,,
424,Statue Base for an Unknown Emperor(?),Base,Dedication,,150.5,299,0.0600,,
425,Statue Base for an Unknown Individual,Base,Dedication,,150.5,299,0.0310,,
426,Statue Base for an Unknown Individual,Base,Dedication,,150.5,299,0.0190,,
427,Statue Base for an Unknown Individual,Base,Dedication,Before the Telestrion,150.5,299,0.0290,Areopagus & Boule,
428,Statue Base for an Unknown Individual,Base,Dedication,,150.5,299,0.0180,,
429,Statue Base for an Unknown Hearth-Initiate(?),Base,Dedication,,150.5,299,0.0170,,
430,Statue Base for an Unknown Individual,Base,Dedication,,150.5,299,0.0280,,
431,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,,150.5,299,0.0275,,
432,Dedication by a Woman for her Family,Base,Dedication,,150.5,299,0.0150,,
433,"Statue Base for an Unknown Hierophantis, Daughter of Perikles of Oion",Base,Dedication,,112.5,25,0.0270,,
433,"Statue Base for Ti. Kl., the Hierophant, Kallikratidou Trikorysios",Base,Dedication,,112.5,25,0.0250,,
434,Statue Base Signed by Sotas and [-],Building or Monument,Other/Uncertain,,125.0,40,0.0220,,
435,"Statue Base for an Unknown Individual, Dedicated by the Eumolpidai, Lykomidai",Base,Dedication,Before the Telestrion,125.0,40,0.0200,,
436,Statue Base for an Unknown Individual,Base,Dedication,Before the Telestrion,125.0,40,0.0170,,
437,Statue Base(?) for an Unknown Individual,Base,Dedication,,125.0,40,0.0290,,
438,"Statue Base for Ti. Kl. Attikos Herodes Kl. Attikou Marathonios, 'Son of Hellas'",Base,Dedication,,115.0,10,0.0150,,
439,Statue Base for Agrius Saturninus,Base,Dedication,Before the Telestrion,122.0,10,0.0250,Areopagus,
440,Dedicatory Base in Honor of Ael. Lysistrate,Base,Dedication,,122.0,10,,"Areopagus, Boule, & Demos",
441,"Statue Base for Athenaios Athenaiou Phlyeus, Hearth-Initiate",Base,Dedication,,119.5,11,,Areopagus & Boule,
442,"Statue Base for T. Vipsanius [-] Flavianos Kephisieus, Hearth-Initiate",Base,Dedication,,132.5,15,0.0150,,
443,Statue Base for a Son of Heroxenos of Marathon,Base,Dedication,,137.5,25,0.0220,,
444,Statue Base(?) for G. Memmios Sabeinos Peisandros,Base,Dedication,,128.0,10,,,
445,Statue Base for Thrasyllos of Kholleidai,Base,Dedication,,135.0,10,0.0210,,
446,Altar Dedicated to Hadrian,Base,Dedication,,132.0,10,0.0200,,
447,Altar Dedicated by the Akhaioi,Base,Dedication,Outer Courtyard,136.0,10,0.1000,,
448,"Dedicatory Inscriptions on Two Triumphal Arches, Dedicated by the Panhellenes to the Two Goddesses and the Emperor",Base,Dedication,Outer Courtyard,136.5,3,0.1750,,
449,Dedication of an Aquaduct by an Uncertain Emperor,Base,Dedication,,127.5,21,0.0430,,
450,Dedicatory Architrave Concerning the Eleusinia,Base,Other/Uncertain,South Wall,127.5,21,0.1300,,
451,Dedication Concerning an Unknown Emperor,Base,Other/Uncertain,South Wall,150.5,99,0.1150,,
452,Architrave Fragment,Base,Other/Uncertain,,150.5,99,0.1245,,
453,Statue Base for the Deified Hadrian Panhellenios,Base,Dedication,Outer Courtyard,160.0,44,0.1100,,
454,"Statue Base for an Unknown Hierophantis, Daughter of a Demetrios",Base,Dedication,,160.0,44,0.0220,,
455,"Statue Base for L. Vipsanios Aiolion Phlyeus, Exegete of the Eumolpidai",Base,Dedication,,145.0,10,0.0260,"Areopagus, Boule, & Demos",
456,"Statue Base for Relative of L. Vipsanios Aiolion, Exegete of the Eumolpidai",Base,Dedication,,145.0,10,0.0315,,
457,Base Dedicated by the Samians,Base,Dedication,,145.0,10,0.0320,,
458,"Statue Base for Iun. [-] Meletine, Daughter of Iun. Patron of Berenikidai, Hearth-Initiate",Base,Dedication,,145.0,10,0.0110,,
459,"Statue Base for Nummia Kleo, Hearth-Initiate",Base,Dedication,,145.0,10,0.0300,,
460,Statue Base for Ti. Kl. Attikos of Marathon,Base,Dedication,,125.0,50,0.0230,,
461,"Statue Base Galeria Annia Faustina Sebaste, Daughter of Emperor Antoninus and Wife of M. Aur. Verus",Base,Dedication,,153.0,14,0.0445,,
461,"Statue Base for Domitia Lucilla, Daughter of M. Aur. Verus",Base,Dedication,,153.0,14,0.0615,,
462,"Statue Base for Nummios Nigreinos, Hierokeryx",Base,Dedication,Before the Telestrion,150.0,10,,,
463,Statue Base for Menandra of Ephesos,Base,Dedication,,150.0,50,0.0170,,
464,Statue Base D. Iun. Menneas D. Iun. Patronos Berenikides,Base,Dedication,,150.0,50,0.0170,,
465,"Statue Base for Phirmos Gargettios, Hierophant",Base,Dedication,Outer Courtyard,150.0,50,0.0180,,
466,"Statue Base for D. Iun. Peiraieus, Hierophant",Column/Herm,Dedication,,150.0,50,0.0210,,
467,"Statue Base for an Unknown Hearth-Initiate, Relative of the Daduch Ti. Kl. Lysiades",Base,Dedication,,150.0,50,,,
468,Statue Base for Ael. Praxagoras of Melite,Base,Dedication,,150.0,50,0.0330,,
469,Statue Base for an Unknown Individual,Base,Dedication,,150.0,50,0.0260,,
470,"Statue Base for Klementiane, Daughter of Arrian",Base,Dedication,,175.0,50,0.0160,,
471,Statue Base for an Unknown Emperor,Base,Dedication,,175.0,50,0.0800,,
472,Statue Base for an Unknown Member of the Klaudii of Melite,Base,Dedication,,175.0,50,0.0250,,
473,"Statue Base for Sergius Salvidius Orfitus, Dedicated by The Areopagus, Boule, and Demos",Base,Dedication,South Wall,155.0,10,0.0550,"Areopagus, Boule, & Demos",
