Institution: Title,Institution: Role,Institution: Origin,Institution: Type,Inscription: IE,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Institution: Total Appearances,Institution: Total Offices,Institution: Total Office Appearances,Institution: Total Officers,Institution: Total Officer Appearances,Institution: Total People Co-Appearances,Institution: Total Institutional Co-Appearances,Institution: Total Honors Co-Appearances,Institution: Total People Co-Appearances with Officers,Institution: Total Institutional Co-Appearances with Officers,Inscription: Character Count,Inscription: Diplomatic Character Count,Inscription: Word Count,Inscription: Diplomatic Word Count,Inscription: Total Institutions,Inscription: Total Honors,Inscription: Total People,Inscription: Total Sponsors,Inscription: Total Honorands,Inscription: Total Athenians,Inscription: Total Romans,Institution: ID,Inscription: ID,Institution: Notes,Inscription: Notes
Areopagus,Sponsor,Athens,Public,626,"Statue Base for the Sophist P. Herennius Ptolemais, Son of P. Herennius, Hierokeryx",Base,Dedication,North of the Telesterion,313.0,24,0.0220,84,7,68,43,56,151,203,164,274,104,105,93,23,20,4,4,1,3,0,1,0,626,626,,
Areopagus,Officer,Athens,Public,626,"Statue Base for the Sophist P. Herennius Ptolemais, Son of P. Herennius, Hierokeryx",Base,Dedication,North of the Telesterion,313.0,24,0.0220,84,7,68,43,56,151,203,164,274,104,105,93,23,20,4,4,1,3,0,1,0,626,626,,
Areopagus,Sponsor,Athens,Public,630,Statue Base for Ful. Plautianos,Base,Dedication,Before the Telestrion,204.0,2,0.0200,84,7,68,43,56,151,203,164,274,104,206,124,51,30,3,4,4,3,1,1,3,630,630,,
Areopagus,Sponsor,Athens,Public,632,"Statue Base for Kl. Menandra, Daughter of the Daduch Kl. Philippos",Base,Dedication,Before the Telestrion,210.0,10,0.0350,84,7,68,43,56,151,203,164,274,104,173,162,45,41,3,1,5,3,1,5,0,632,632,,
Areopagus,Sponsor,Athens,Public,633,"Statue Base for Rouphenia, Mother of Iul. the Hierokeryx",Base,Dedication,,217.5,15,0.0235,84,7,68,43,56,151,203,164,274,104,191,152,51,35,1,6,3,1,1,2,1,633,633,,
Areopagus,Sponsor,Athens,Public,634,"Statue Base for Ptolemaios, Son of Serenos of Gaza",Base,Dedication,,206.5,11,0.0350,84,7,68,43,56,151,203,164,274,104,180,175,41,38,1,1,1,1,1,1,0,634,634,,
Areopagus,Sponsor,Athens,Public,635,"Statue Base for Aur. Magna, Hearth-Initiate",Base,Dedication,,217.0,10,0.0280,84,7,68,43,56,151,203,164,274,104,154,134,40,33,1,2,4,3,1,4,0,635,635,,
Areopagus,Sponsor,Athens,Public,638,Decree of the Athenians Concerning the Transport of the Sacred Objects,Base,Decree,South Wall,220.0,10,0.0180,84,7,68,43,56,151,203,164,274,104,1749,1355,465,326,5,6,3,3,0,3,0,638,638,,
Areopagus,Sponsor,Athens,Public,645,"Statue Base for Kassianos, Hierokeryx",Base,Dedication,Before the Telestrion,236.0,10,0.0350,84,7,68,43,56,151,203,164,274,104,119,115,21,19,3,6,1,3,1,1,0,645,645,,
Areopagus,Sponsor,Athens,Public,654,"Statue Base for Aerarios Sosipatros, Daduch",Base,Dedication,,275.0,50,0.0350,84,7,68,43,56,151,203,164,274,104,79,77,16,15,3,1,3,3,1,3,0,654,654,,
Areopagus,,Athens,Public,655,Letter of the Emperor Gallienus to the Athenians Concerning the Mysteries,Base,Epistle,,265.0,0,0.0180,84,7,68,43,56,151,203,164,274,104,638,276,234,85,3,5,2,0,0,0,2,655,655,,
Areopagus,Sponsor,Athens,Public,662,Statue Base for an Unknown Individual,Base,Dedication,Before the Telestrion,250.0,100,0.0250,84,7,68,43,56,151,203,164,274,104,92,30,31,17,1,0,1,1,0,1,0,662,662,,
Areopagus,Sponsor,Athens,Public,667,Base Dedicated by an Unknown party,Base,Dedication,,150.5,299,,84,7,68,43,56,151,203,164,274,104,71,27,26,11,1,0,0,1,0,0,0,667,667,,
Areopagus,Sponsor,Athens,Public,347,"Statue Base for P. Papinus Statius, Dedicated by the Areopagus",Base,Dedication,,50.0,50,0.0215,84,7,68,43,56,151,203,164,274,104,85,68,29,17,2,0,1,2,1,0,1,682,682,,
Areopagus,Officer,Athens,Public,433,"Statue Base for Ti. Kl., the Hierophant, Kallikratidou Trikorysios",Base,Dedication,,112.5,25,0.0250,84,7,68,43,56,151,203,164,274,104,0,0,1,1,3,12,0,0,0,0,0,689,689,,
Areopagus,Sponsor,Athens,Public,473,"Statue Base for Sergius Salvidius Orfitus, Dedicated by The Areopagus, Boule, and Demos",Base,Dedication,South Wall,155.0,10,0.0550,84,7,68,43,56,151,203,164,274,104,0,0,1,1,3,0,1,3,1,0,1,691,691,,
Areopagus,Sponsor,Athens,Public,473,"Statue Base for Calpurnia Lepida, Daughter of L., Wife of Scipio Orfitus, Dedicated by the Areopagus, Boule, and Demos",Base,Dedication,South Wall,155.0,10,0.0550,84,7,68,43,56,151,203,164,274,104,0,0,1,1,3,0,2,3,1,0,2,692,692,,
Areopagus,Sponsor,Athens,Public,473,"Statue Base for Sergius Calpurius Scipio Orfitus, Son of Scipio Orfitus, Dedicated by the Areopagus, Boule, and Demos",Base,Dedication,South Wall,155.0,10,0.0550,84,7,68,43,56,151,203,164,274,104,0,0,1,1,3,0,2,3,1,0,2,693,693,,
Areopagus,Sponsor,Athens,Public,473,"Statue Base for L. Calpurnius Scipio, son of Orfitus, Dedicated by the Areopagus, Boule, and Demos",Base,Dedication,South Wall,155.0,10,0.0550,84,7,68,43,56,151,203,164,274,104,0,0,1,1,3,0,2,3,1,0,2,694,694,,
Areopagus,Sponsor,Athens,Public,486,"Statue Base for the Savior Gods/Godesses of Brotherly Emperors, Dedicated by the Polis during the Epimelitea of Herodes",Base,Dedication,,171.0,10,0.0920,84,7,68,43,56,151,203,164,274,104,0,0,1,1,3,2,3,3,2,1,2,695,695,,
Areopagus,Sponsor,Athens,Public,486,"Statue Base for the Savior Gods/Godesses of the Brotherly Emperors, Dedicated By the Polis During the Epimelitea of Herodes",Base,Dedication,,171.0,10,0.0920,84,7,68,43,56,151,203,164,274,104,0,0,1,1,3,0,1,3,1,0,1,696,696,,
Boule,Sponsor,Athens,Public,267,Statue Base for an Unknown Kanephoros,Base,Dedication,Outer Courtyard,-87.5,25,0.0080,66,1,1,2,2,169,181,167,1,3,266,121,77,33,2,5,2,2,1,2,0,267,267,,
Boule,,Athens,Public,271,Honorary Decree of the Synod of Dionysiac Artists in Honor of their Epimelete Philemon,Base,Decree,,-73.0,6,0.0070,66,1,1,2,2,169,181,167,1,3,2289,2083,519,438,4,5,1,1,1,1,0,271,271,,
Boule,Sponsor,Athens,Public,274,Dedication in Honor of a Tamias,Base,Dedication,,-61.5,1,0.0095,66,1,1,2,2,169,181,167,1,3,48,26,21,12,1,1,1,1,1,1,0,274,274,,
Boule,Sponsor,Athens,Public,275,"Statue Base for Medeios Medeiou Peiraieus, Exegete of the Eumolpidai",Base,Dedication,North of the Telesterion,-60.0,10,0.0200,66,1,1,2,2,169,181,167,1,3,243,233,52,46,3,2,2,2,1,2,0,275,275,,
Boule,Sponsor,Athens,Public,282,Statue Base for Unknown Hearth-Initiate,Stele,Dedication,Between the Propylaea,-50.0,20,0.0090,66,1,1,2,2,169,181,167,1,3,147,96,44,24,2,3,3,2,1,3,0,282,282,,
Boule,Sponsor,Athens,Public,283,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,Between the Propylaea,-50.0,20,,66,1,1,2,2,169,181,167,1,3,80,47,25,12,1,2,1,1,1,1,0,283,283,,
Boule,Sponsor,Athens,Public,295,"Statue Base for Kallikratides Syndromou Trikorysios, Hoplite General",Base,Dedication,South Wall,-32.5,5,0.0345,66,1,1,2,2,169,181,167,1,3,198,149,50,36,3,1,1,3,1,1,0,295,295,,
Boule,Sponsor,Athens,Public,300,Honorary Decree for Themistokles Theophrastou Hagnousios,Base,Decree,,-25.0,10,0.0095,66,1,1,2,2,169,181,167,1,3,3533,3223,781,638,3,18,47,2,1,47,0,300,300,,
Boule,Sponsor,Athens,Public,305,Statue Base for Polyainos Nikandrou Sounieus,Base,Dedication,,-13.0,24,0.0270,66,1,1,2,2,169,181,167,1,3,73,52,25,13,2,0,1,2,1,1,0,305,305,,
Boule,Sponsor,Athens,Public,323,"Statue Base for Atheno Niketou Hagnousiou, Hearth-Initiate",Base,Dedication,,0.0,50,,66,1,1,2,2,169,181,167,1,3,126,125,30,30,3,1,1,3,1,1,0,323,323,,
Boule,Sponsor,Athens,Public,324,"Statue Base for Pammenes Pammenous Marathonios, Exegete of the Eumolpidai",Base,Dedication,Before the Telestrion,13.0,24,0.0300,66,1,1,2,2,169,181,167,1,3,158,67,53,25,4,1,1,4,1,1,0,324,324,,
Boule,Sponsor,Athens,Public,329,"Statue Base for an Unknown Hearth-Initiate, Daughter of Polycharmos of Azenia",Other/Fragment,Dedication,,-6.5,41,,66,1,1,2,2,169,181,167,1,3,56,52,14,11,1,1,2,1,2,2,0,329,329,,
Boule,Sponsor,Athens,Public,334,Monument for Emperor Tiberius,Base,Dedication,,20.0,10,0.0450,66,1,1,2,2,169,181,167,1,3,225,129,52,29,3,2,3,3,1,2,1,334,334,,
Boule,Sponsor,Athens,Public,335,Monument for Iulia Augusta,Other/Fragment,Dedication,,25.0,10,0.0450,66,1,1,2,2,169,181,167,1,3,247,21,62,13,3,2,5,3,1,3,2,335,335,,
Boule,Sponsor,Athens,Public,340,Statue Base for Unknown,Base,Dedication,,37.5,25,0.0230,66,1,1,2,2,169,181,167,1,3,51,6,21,6,3,0,0,3,0,0,0,340,340,,
Boule,Sponsor,Athens,Public,345,Statue Base for Titus Statilius Lamprias,Base,Dedication,,43.0,10,,66,1,1,2,2,169,181,167,1,3,100,97,24,22,3,0,1,3,1,0,1,345,345,,
Boule,Sponsor,Athens,Public,348,Statue Base for Diokles Themistokleous Hagnousios,Base,Dedication,,50.0,20,0.0200,66,1,1,2,2,169,181,167,1,3,123,32,34,12,3,1,2,3,1,2,0,348,348,,
Boule,Sponsor,Athens,Public,349,"Statue Base for Athenais, Daughter of Diokles Hagnousios",Stele,Dedication,Before the Telestrion,50.0,20,,66,1,1,2,2,169,181,167,1,3,160,112,38,21,3,1,2,3,1,2,0,349,349,,
Boule,Sponsor,Athens,Public,351,"Statue Base for Seilon Apolloniou Meliteus, Hearth-Initiate",Base,Dedication,,50.0,20,0.0180,66,1,1,2,2,169,181,167,1,3,145,130,48,35,3,1,2,3,1,2,0,351,351,,
Boule,Sponsor,Athens,Public,352,"Statue Base for Caius Caecilius Kasios, Acharneus",Base,Dedication,Before the Telestrion,50.0,20,0.0300,66,1,1,2,2,169,181,167,1,3,99,76,27,20,3,0,1,3,1,0,1,352,352,,
Boule,Sponsor,Athens,Public,353,Statue Base for an Unknown Daughter of Statilius of Sphettos,Building or Monument,Dedication,,50.0,20,0.0250,66,1,1,2,2,169,181,167,1,3,125,59,46,21,3,0,1,3,1,0,1,353,353,,
Boule,Sponsor,Athens,Public,362,"Status Base for Iulius Nikanor, New Homer and New Themistokles",Base,Dedication,,60.0,10,0.0220,66,1,1,2,2,169,181,167,1,3,103,73,28,20,3,0,1,3,1,0,0,362,362,,
Boule,Sponsor,Athens,Public,378,Statue Base for Eraton Eratonos Besaieus,Base,Dedication,,50.5,99,0.0280,66,1,1,2,2,169,181,167,1,3,75,60,23,18,2,0,1,2,1,1,0,378,378,,
Boule,Sponsor,Athens,Public,383,Statue Base for a T. Flavius,Building or Monument,Dedication,,50.5,99,0.0130,66,1,1,2,2,169,181,167,1,3,56,32,21,10,3,0,1,3,1,1,0,383,383,,
Boule,Sponsor,Athens,Public,389,Son of Tryphon Phylasios,Building or Monument,Dedication,,50.5,99,0.0900,66,1,1,2,2,169,181,167,1,3,171,46,55,14,3,0,3,3,1,3,0,389,389,,
Boule,Sponsor,Athens,Public,394,Dedication to Dionysios Lenaios,Base,Dedication,,100.5,199,0.0100,66,1,1,2,2,169,181,167,1,3,53,16,18,7,1,1,1,1,1,1,0,394,394,,
