"ID","Label","Category","Origin","Gender","Type","Class","Athenian Citizenship","Roman Citizenship","Family","Extended Family","Deme","Uncertain Person"
"2283","Ana[.]n Krateros","Athenian","Athens","Male","","Person","t","t","","","","f"
"2316","Pompeia Polla","Athenian","Athens","Female","","Person","t","t","","","","f"
"2332","M. Iul. Praxis","Athenian","Athens","Male","","Person","t","t","","","","f"
"2470","Praxagora [?]","Athenian","Athens","Female","","Person","t","f","","","","f"
"2238","Polemon Heroxenou","Athenian","Athens","Male","","Person","t","f","","","","f"
"2203","Metrodoros II Metrodorou","Athenian","Athens","Male","","Person","t","f","","","","f"
"2204","Antio Metrodorou","Athenian","Athens","Male","","Person","t","f","","","","f"
"2347","Ail. Philiste Praxagorou","Athenian","Athens","Female","","Person","t","t","","","","f"
"2174","T. Kl. Lysiades Patronos","Athenian","Athens","Male","","Person","t","t","","","","f"
"2257","L. Nummius Andreas Menidos","Athenian","Athens","Male","","Person","t","t","","","","f"
"2004","Diopeithes","Athenian","Athens","Male","","Person","t","f","","","Halai Aixonides","f"
"2223","Fl. Laodameia Kleitou","Athenian","Athens","Female","","Person","t","t","","","","f"
"2484","Aur. Epaphrodeitos Asklepiadou","Athenian","Athens","Male","","Person","t","t","","","","f"
"2298","Fl. Xenion","Athenian","Athens","Male","","Person","t","t","","","","f"
"2168","Fl. Sophia","Athenian","Athens","Female","","Person","t","t","","","","f"
"2311","Agothokles Marathonios","Athenian","Athens","Male","","Person","t","f","","","","f"
"2404","T. Fl. Leosthenes II","Athenian","Athens","Male","","Person","t","t","","","","f"
"2291","Ail. Zenonos","Athenian","Athens","Male","","Person","t","t","","","","f"
"2165","Ti. Kl. Hipparkhos Herodou","Athenian","Athens","Male","","Person","t","t","","","","f"
"2002","Theophilos","Athenian","Athens","Male","","Person","t","f","","","Halai Aixonides","f"
"2177","Kl. [?] Father of Seilianos","Athenian","Athens","Male","","Person","t","t","","","","t"
"2139","Eimertos Polykharmos","Athenian","Athens","Male","","Person","t","f","","","","f"
