Inscription: IE,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Areopagus Sponsor,Boule Sponsor,Demos Sponsor,Inscription: Notes
332,Statue Base for Unknown,Base,Other/Uncertain,,34.0,40,0.0650,False,False,False,
333,Statue Base for Menandros Asklepiodotou Gargettios,Base,Dedication,Before the Telestrion,20.0,10,0.0220,False,False,False,
334,Monument for Emperor Tiberius,Base,Dedication,,20.0,10,0.0450,True,True,True,
335,Monument for Iulia Augusta,Other/Fragment,Dedication,,25.0,10,0.0450,True,True,True,
336,Statue Base for a Priest of Tiberius and Exegete of the Eumolpidai,Base,Dedication,,25.0,10,0.0240,False,False,False,
337,Statue Base for an Unknown Exegete,Base,Dedication,,25.0,10,0.0290,False,False,False,
338,Statue Base for Unknown,Base,Dedication,,25.0,10,0.0235,False,False,False,
339,Statue Base for Unknown,Base,Dedication,,37.5,25,0.0250,False,False,False,
340,Statue Base for Unknown,Base,Dedication,,37.5,25,0.0230,True,True,True,
341,Epistyle of Building Dedicated by the Priestess Kleo Eukleous of Phyla,Base,Dedication,,45.0,40,0.0350,False,False,False,
342,Monument Dedicated by the Priestess Kleo Eukleous of Phyla,Base,Dedication,,45.0,40,0.0520,False,False,False,
343,Statue Base Dedicated by the Priestess Kleo Eukleous of Phyla,Altar,Dedication,,45.0,40,0.0230,False,False,False,
344,"Statue Base for Polycharmos Eukleous Marathonios, High Priest of Tiberius",Base,Dedication,Before the Telestrion,33.5,7,0.0300,False,False,False,
345,Statue Base for Titus Statilius Lamprias,Base,Dedication,,43.0,10,,True,True,True,
346,Statue Base Dedicated by Kleopatra Iophontos Deiradiotou and Her Son,Base,Dedication,,50.0,20,0.0230,False,False,False,
347,"Statue Base for P. Papinus Statius, Dedicated by the Areopagus",Base,Dedication,,50.0,50,0.0215,True,False,True,
347,"Statue Base for a Proconsul, Dedicated by the Demos",Base,Dedication,,50.0,50,0.0215,False,False,False,
348,Statue Base for Diokles Themistokleous Hagnousios,Base,Dedication,,50.0,20,0.0200,True,True,True,
349,"Statue Base for Athenais, Daughter of Diokles Hagnousios",Stele,Dedication,Before the Telestrion,50.0,20,,True,True,True,
350,Statue Base for Marcus Porcius Cato,Base,Dedication,,50.0,20,0.0300,False,False,False,
351,"Statue Base for Seilon Apolloniou Meliteus, Hearth-Initiate",Base,Dedication,,50.0,20,0.0180,True,True,True,
352,"Statue Base for Caius Caecilius Kasios, Acharneus",Base,Dedication,Before the Telestrion,50.0,20,0.0300,True,True,True,
353,Statue Base for an Unknown Daughter of Statilius of Sphettos,Building or Monument,Dedication,,50.0,20,0.0250,True,True,True,
354,"Architrave with Dedication by Tiberius Klaudios Eukles Sostratou, Priest of Iulia Agrippina Sebaste",Building or Monument,Dedication,,54.5,9,,False,False,False,
355,Statue Base for an Unknown Brother of the Priest Tiberius Klaudios Eukles Sostratou,Base,Dedication,,54.5,9,,False,False,False,
356,Statue Base for Tiberius Klaudios Nouios Philinou of Oion,Base,Dedication,,55.0,10,0.0250,False,False,False,
357,"Statue Base for Tiberius Klaudios Demostratos Ti. Klaudii Neikotelous Sounieus, Hearth Initiate",Base,Dedication,,55.0,10,0.0170,False,False,False,
358,Statue Base for Klaudios Asklepiodoros Gargettios,Base,Dedication,,55.0,10,0.0250,False,False,False,
359,Statue Base for an Exegete,Base,Dedication,,75.0,50,0.0240,False,False,False,
360,Contract Concerning Iulius Nikanor,Building or Monument,Other/Uncertain,,60.0,20,0.0130,False,False,False,
361,Statue Base for Tiberius Klaudios Nouios of Oion,Building or Monument,Dedication,,60.0,10,,False,False,False,
362,"Status Base for Iulius Nikanor, New Homer and New Themistokles",Base,Dedication,,60.0,10,0.0220,True,True,True,
363,Entablature,Base,Dedication,Before the Telestrion,99.0,78,0.0400,False,False,False,
364,Monument for Klaudia Alkia,Base,Dedication,,65.0,10,0.0140,False,False,False,
365,Statue Base for Titus Flavius Sophokles T. Flavii Kononos Sounieus,Base,Dedication,,75.0,10,0.0200,False,False,False,
366,Statue Base for Titus Flavius Konon Kononos Sounieus,Base,Dedication,,77.5,5,0.0230,False,False,False,
367,Statue Base for Titus Flavius Sophokles Kononos Sounieus,Base,Dedication,,77.5,5,0.0250,False,False,False,
