ID,Label,Interval,Category,Type,Origin,Roman Citizenship
2144,Diokles Themistokles Hagnousios,"<[50.0, 350]>",Athenian (No Roman Status),Male,Athens,
2145,Athenais Diokleous,"<[50.0, 350]>",Athenian (No Roman Status),Female,Athens,
2147,Seilon Apolloniou,"<[50.0, 350]>",Athenian (No Roman Status),Male,Athens,
2149,G. Caecilius Cassius,"<[50.0, 350]>",Roman,Male,Rome,
2150,Statilia [.],"<[50.0, 350]>",Roman,Female,Rome,
2151,Ti. Kl. Eukles Sostratou,"<[54.5, 350]>",Athenian with Roman Citizenship,Male,Athens,
2152,Iulia Agrippina,"<[54.5, 350]>",Roman,Female,Rome,
2155,G. Iul. Polkhos Sounieus,"<[55.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2156,Ti. Kl. Demostratos,"<[55.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2159,Kl. Asklepiodoros,"<[55.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2160,Kl. [?] Asklepiodorou,"<[55.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2162,Iul. Nikanor,"<[60.0, 350]>",Other,Male,Syria,
2163,[?] Emperor,"<[99.0, 350]>",Roman,Male,Rome,
2164,[?] Imperial Priest,"<[99.0, 350]>",Athenian (No Roman Status),Male,Athens,
2165,Ti. Kl. Hipparkhos Herodou,"<[65.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2166,Kl. Alkia,"<[65.0, 350]>",Athenian with Roman Citizenship,Female,Athens,
2167,T. Fl. Sophokles T. Fl. Kononos,"<[75.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2168,Fl. Sophia,"<[75.0, 350]>",Athenian with Roman Citizenship,Female,Athens,
2169,T. Fl. Konon Kononos,"<[77.5, 350]>",Athenian with Roman Citizenship,Male,Athens,
2171,P. Fulvius Maximos Sounieus,"<[85.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2172,P. Fulvius Metrodoros,"<[85.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2173,Kl. Philoxena Patronos,"<[97.5, 350]>",Athenian with Roman Citizenship,Female,Athens,
2174,Ti. Kl. Lysiades Patronos,"<[97.5, 350]>",Athenian with Roman Citizenship,Male,Athens,
2176,G. Kl. Seilianos Polykritos,"<[97.5, 350]>",Athenian with Roman Citizenship,Male,Athens,
2177,Kl. [?] Father of Seilianos,"<[97.5, 350]>",Athenian with Roman Citizenship,Male,Athens,
2178,Kl. [?] Mother of Seilianos,"<[97.5, 350]>",Athenian with Roman Citizenship,Male,Athens,
2181,[?] Wife of Ammonios Kholleides,"<[87.5, 350]>",Athenian (No Roman Status),Female,Athens,
2182,Thrasyllos Ammoniou,"<[87.5, 350]>",Athenian (No Roman Status),Male,Athens,
2183,Eraton Eratonos,"<[50.5, 350]>",Athenian (No Roman Status),Male,Athens,
2186,[.]ppos Herokleitou,"<[50.5, 350]>",Athenian (No Roman Status),Male,Athens,
2189,T. Fl [?],"<[50.5, 350]>",Athenian (No Roman Status),Uncertain,Athens,
2196,Tryphon Phylasios,"<[50.5, 350]>",Athenian (No Roman Status),Male,Athens,
2198,[?] Kanephoros,"<[100.5, 350]>",Athenian (No Roman Status),Male,Athens,
2201,[?] Daughter of [.]dous,"<[100.5, 350]>",Athenian (No Roman Status),Female,Athens,
2206,Kallisto Kallimakhou,"<[100.5, 350]>",Athenian (No Roman Status),Female,Athens,
2207,Kallikleia,"<[100.5, 350]>",Athenian (No Roman Status),Female,Athens,
2212,T. [?],"<[100.5, 350]>",Other,Uncertain,Other/Uncertain,
2219,[?] Woman,"<[150.5, 350]>",Athenian (No Roman Status),Female,Athens,
2220,[?] Husband of Woman,"<[150.5, 350]>",Athenian (No Roman Status),Male,Athens,
2221,Hierophantis Perikleous,"<[112.5, 350]>",Athenian (No Roman Status),Female,Athens,
2222,Pose Poseous,"<[112.5, 350]>",Athenian (No Roman Status),Female,Athens,
2223,Fl. Laodameia Kleitou,"<[112.5, 350]>",Athenian with Roman Citizenship,Female,Athens,
2225,[?] Priest,"<[125.0, 350]>",Athenian (No Roman Status),Male,Athens,
2226,Ti. Kl. Herodes Attikos Kl. Attikou,"<[115.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2228,Viboullia Alkia,"<[115.0, 350]>",Athenian with Roman Citizenship,Female,Athens,
2229,Cocceius Censorinus,"<[115.0, 350]>",Roman,Male,Rome,
2230,Agrius Saturninus,"<[122.0, 350]>",Roman,Male,Rome,
2231,Ael. Lysistrate,"<[122.0, 350]>",Athenian with Roman Citizenship,Female,Athens,
2233,Athenaios Epaphrodeitos Athenaiou,"<[119.5, 350]>",Athenian (No Roman Status),Male,Athens,
2235,Vipsania Lailiane,"<[132.5, 350]>",Athenian with Roman Citizenship,Female,Athens,
2236,T. Vipsanius [.] Flavianos,"<[132.5, 350]>",Athenian with Roman Citizenship,Male,Athens,
2237,[?] Son of Heroxenos Marathonios,"<[137.5, 350]>",Athenian (No Roman Status),Male,Athens,
2238,Polemon Heroxenou,"<[137.5, 350]>",Athenian (No Roman Status),Male,Athens,
2240,Thrasyllos Kholleides,"<[135.0, 350]>",Athenian (No Roman Status),Male,Athens,
2250,L. Vipsanius Aiolion,"<[145.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2251,L. Vipsanius Lailianos,"<[145.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2253,Iunia [?] Iun. Patronos,"<[145.0, 350]>",Athenian with Roman Citizenship,Female,Athens,
2254,Iun. Patron,"<[145.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2255,Annia Aristokleia,"<[145.0, 350]>",Athenian with Roman Citizenship,Female,Athens,
2256,Annius Thrasyllos,"<[145.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2257,L. Nummius Andreas Menidos,"<[145.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2258,Nummia Bassa,"<[145.0, 350]>",Athenian with Roman Citizenship,Female,Athens,
2260,Nummia Kleo,"<[145.0, 350]>",Athenian with Roman Citizenship,Female,Athens,
2264,Emperor Marcus Aurelius,"<[153.0, 350]>",Roman,Male,Rome,
2271,D. Iun. Menneas,"<[150.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2274,D. Iun. Peiraieus,"<[150.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2275,Cornelia [?],"<[150.0, 350]>",Athenian with Roman Citizenship,Female,Athens,
2280,Klementiane,"<[175.0, 350]>",Athenian with Roman Citizenship,Female,Athens,
2282,[?] Emperor,"<[175.0, 350]>",Roman,Male,Rome,
2283,Ana[.]n Krateros,"<[175.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2286,Sergius Salvidius Scipio Orfitus,"<[155.0, 350]>",Roman,Male,Rome,
2287,Calpurnia L. Lepida,"<[155.0, 350]>",Roman,Female,Rome,
2288,Sergius Calpurnius Scipio Orfitus,"<[155.0, 350]>",Roman,Male,Rome,
2289,L. Calpurnius Piso,"<[155.0, 350]>",Roman,Male,Rome,
2290,P. Ail. Timosthenes,"<[155.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2291,Ail. Zenonos,"<[155.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2293,Regilla,"<[155.0, 350]>",Roman,Female,Rome,
2298,Fl. Xenion,"<[165.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2299,Fl. Zenophilos,"<[165.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2300,Emperor L. Verus,"<[162.0, 350]>",Roman,Male,Rome,
2301,Ail. Kh[?],"<[165.0, 350]>",Other,Uncertain,Other/Uncertain,
2302,T. Fl. Hierophant Alkibiadou,"<[167.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2310,M. Aur. Miltiades,"<[165.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2311,Agothokles Marathonios,"<[165.0, 350]>",Athenian (No Roman Status),Male,Athens,
2312,T. Fl. Euthykomas,"<[166.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2316,Pompeia Polla,"<[166.0, 350]>",Athenian with Roman Citizenship,Female,Athens,
2318,T. Fl. Menandros Paianieus,"<[166.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2321,M. Iul Apellas,"<[170.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2325,Xenion,"<[170.0, 350]>",Athenian (No Roman Status),Male,Athens,
2326,Iul. Apollodotos Meliteus,"<[170.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2327,Iul. Theodotos,"<[170.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2328,Ail. Kephisodora,"<[170.0, 350]>",Athenian with Roman Citizenship,Female,Athens,
2331,Iul. Kephisodora,"<[170.0, 350]>",Athenian with Roman Citizenship,Female,Athens,
2332,M. Iul. Praxis,"<[173.5, 350]>",Athenian with Roman Citizenship,Male,Athens,
2339,L. Memmius Altar-Priest,"<[170.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2386,Emperor Septimius Severus,"<[196.5, 350]>",Roman,Male,Rome,
