Inscription: IE,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Public Sponsors,Honorand,Honorand Origin,Honorand Gender,Honorand Roman Citizen,Honorand Family,Inscription: Notes
477,"Statue Base for Ti. Kl. Appios Ateilios Bradoua, Son of Kl. Herodes, Hearth-Initiate",Base,Dedication,,162.5,5,0.0120,,T. Kl. Appius Bradoua,Athens,Male,True,,
478,Statue Base for Ael. Praxagoras Themistokleous Meliteus,Base,Dedication,South Wall,165.0,10,0.0320,,Ail. Praxagoras,Athens,Male,True,,
479,Statue Base for Aelius Praxagoras Themistokles Meliteus,Base,Dedication,South Wall,165.0,10,0.0280,,Ail. Praxagoras,Athens,Male,True,,
480,"Statue Base for an Unknown Son of P. Ael. Praxagoras Meliteus, Hearth-Initiate",Base,Dedication,South Wall,165.0,10,0.0460,,[?] Son of P. Ael. Praxagoras,Athens,Male,True,,
481,"Statue Base for Fl. Xenion Marathonsios, Hearth-Initiate, and Others",Base,Dedication,,165.0,10,,,Fl. Zenophilos,Athens,Male,True,,
482,Altar(?) for the Health of M. Aurelius and L. Verus,Base,Dedication,,165.0,8,0.0150,,Emperor L. Verus,Rome,Male,True,,
482,Altar(?) for the Health of M. Aurelius and L. Verus,Base,Dedication,,165.0,8,0.0150,,Emperor L. Verus,Rome,Male,True,,
483,"Statue Base T. Fl. Hierophantes Paianieus, Son of T. Fl. Alkibiades",Base,Dedication,Before the Telestrion,167.0,10,0.0130,"Areopagus, Boule, & Demos",T. Fl. Hierophant Alkibiadou,Athens,Male,True,,
484,"Dedicatory Verse in Honor of Herodes Attikos, Not from the Sanctuary",Base,Verse,,162.0,0,0.0200,,Ti. Kl. Herodes Attikos Kl. Attikou,Athens,Male,True,,
485,"Statue Base for M. Aur. Miltiades, Son of Agathokles of Marathon, Hearth-Initiate",Base,Dedication,,165.0,10,,,M. Aur. Miltiades,Athens,Male,True,,
486,"Statue Base for the Savior Gods/Godesses of Brotherly Emperors, Dedicated by the Polis during the Epimelitea of Herodes",Base,Dedication,,171.0,10,0.0920,"Areopagus, Boule, & Demos",Emperor L. Verus,Rome,Male,True,,
486,"Statue Base for the Savior Gods/Godesses of Brotherly Emperors, Dedicated by the Polis during the Epimelitea of Herodes",Base,Dedication,,171.0,10,0.0920,"Areopagus, Boule, & Demos",Emperor L. Verus,Rome,Male,True,,
486,"Statue Base for the Savior Gods/Godesses of the Brotherly Emperors, Dedicated By the Polis During the Epimelitea of Herodes",Base,Dedication,,171.0,10,0.0920,"Areopagus, Boule, & Demos",Emperor Marcus Aurelius,Rome,Male,True,,
487,Statue Base for T. Fl. Euthykomas Paianieus,Altar,Dedication,,166.0,10,0.0270,Areopagus,T. Fl. Euthykomas,Athens,Male,True,,
488,Statue Base for T. Fl. Menandros Paianieus,Stele,Dedication,South Wall,166.0,10,0.0370,Areopagus,T. Fl. Menandros Paianieus,Athens,Male,True,,
490,"Statue Base for M. Iul. Apellas Marathonios, Archon of the Eumolpidai",Altar,Dedication,Before the Telestrion,170.0,10,0.0280,Areopagus,M. Iul Apellas,Athens,Male,True,,
491,"Statue Base for Fl. Xenion of Marathon, Archon of the Panhellenes",Altar,Dedication,,170.0,10,0.0140,,Xenion,Athens,Male,False,,
492,"Statue Base for Iul. Theodotos Meliteus, Son of Sophist Iul. Theodotos, Archon of the Kerykex",Altar,Dedication,Before the Telestrion,170.0,10,0.0290,"Areopagus, Boule, & Demos",Iul. Apollodotos Meliteus,Athens,Male,True,,
493,"Statue Base for Ael. Kephisodora, Daughter of Daduch Kl. Lysiades",Building or Monument,Dedication,,170.0,10,0.0250,Areopagus,Ail. Kephisodora,Athens,Female,True,,
495,Statue Base for M. Aurelius,Base,Dedication,Before the Telestrion,173.5,3,0.0370,,Emperor Marcus Aurelius,Rome,Male,True,,
496,Statue Base for M. Aurelius,Base,Dedication,Outer Courtyard,176.0,8,0.0460,,Emperor Marcus Aurelius,Rome,Male,True,,
497,Statue Base for M. Aurelius(?),Building or Monument,Dedication,,176.0,8,0.0450,,Emperor Marcus Aurelius,Rome,Male,True,,
501,"Statue Base for Iun. Melitine, Hierophantis",Base,Dedication,,187.5,25,0.0270,,[Iunia] Melitine,Athens,Female,True,,
502,"Statue Base for Isidote, Daughter of Isaios, Hierophantes",Base,Dedication,Before the Telestrion,184.0,16,0.0200,,Isidote Eisaiou,Athens,Female,False,,
503,"Statue Base for L. Memmios, Altar-Priest, of Thorikos",Other/Fragment,Dedication,Before the Telestrion,178.5,3,0.0250,"Areopagus, Boule, & Demos",L. Memmius Altar-Priest,Athens,Male,True,,
505,Statue Base for the Deified M. Aurelius,Base,Dedication,Outer Courtyard,181.0,2,0.0765,,Emperor Marcus Aurelius,Rome,Male,True,,
506,"Statue Base for Lucilla, Daughter of M. Aurelius",Base,Dedication,Outer Courtyard,181.0,2,0.0600,,Lucilla,Rome,Female,True,,
507,"Statue Base for Deified Faustina, Wife of M. Aurelius",Base,Dedication,,181.0,2,0.1000,,Faustina,Rome,Female,True,,
