Institution: Title,Institution: Origin,Institution: Type,Office: Title,Office: Origin,Office: Type,Officer: Description,Officer: Origin,Officer: Gender,Officer: Name(s),Officer: Deme,Officer: Athenian Citizen,Officer: Roman Citizen,Officer: Family,Officer: Extended Family,Institution: Total Appearances,Institution: Total Offices,Institution: Total Office Appearances,Institution: Total Officers,Institution: Total Officer Appearances,Institution: Total People Co-Appearances,Institution: Total Institutional Co-Appearances,Institution: Total Honors Co-Appearances,Institution: Total People Co-Appearances with Officers,Institution: Total Institutional Co-Appearances with Officers,Office: Total Appearances,Office: Total People Honored,Office: Total Times People Honored,Office: Total Athenians Honored,Office: Total Athenians with Roman Citizenship Honored,Office: Total Romans Honored,Office: Total Times Athenians Honored,Office: Total Times Athenians with Roman Citizenship Honored,Office: Total Times Romans Honored,Office: Total Times Sponsored Honored,Office: Total Times Honorand Honored,Officer: Total Appearances,Officer: Total Sponsors,Officer: Total Officers,Officer: Total Institutional Affililiations,Officer: Total Honors,Officer: Total Athenian Honors,Officer: Total Roman Honors,Officer: Total Eleusinian Honors,Officer: RCA,Officer: PA,Officer: PAA,Officer: LGPN,Officer: Uncertain,Institution: ID,Office: ID,Officer: ID,Institution: Notes,Office: Notes,Officer: Notes
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,Iul. Apollodotos Meliteus,Athens,Male,Iulius Apollodotos,Melite,True,True,Theodotid,Claudii of Melite,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,1,3,,4,3,2,0,1,48,,,,False,1000,3027,2326,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,Iul. Theodotos,Athens,Male,Iulius Theodotus,Melite,True,True,Theodotid,Claudii of Melite,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,2,0,,3,4,2,0,0,50,,,,False,1000,3027,2327,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,Ail. Ardys,Athens,Male,Aelius Ardys,,True,True,,Aelii of Phaleron,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,1,0,,5,6,3,1,0,7,,,,False,1000,3027,2397,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,Ail. Kallikrates,Athens,Male,Aelius Kallikrates,,True,True,,Aelii of Phaleron,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,1,0,,4,4,4,0,0,8,,,,False,1000,3027,2398,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,P. Ail Apollonios,Athens,Male,Publius Aelius Apollonios,,True,True,,TBD,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,1,0,,5,5,5,0,0,,,,,False,1000,3027,2453,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,P. Herennios Ptolemaios P. Herenniou,Athens,Male,Publius Herennius Ptolemaios Herenneiou,,True,True,,TBD,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,2,0,,1,2,1,0,0,,,,,False,1000,3027,2467,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,Iul. Mousonios,Athens,Male,Iulius Mousonios,,True,True,,,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,1,0,,3,5,2,0,0,,,,,False,1000,3027,2479,,,
Areopagus,Athens,Public,Herald of the Areopagus,Athens,Magistracy,T. Kl. Hierophantes Kallikratidou Trikorysios,Athens,Male,Tiberius Claudius Kallikratidou,Trikorysios,True,True,,,84,7,68,43,56,151,203,164,274,104,18,17,17,17,15,0,17,15,0,23,16,0,0,,8,11,8,2,1,,,,,False,1000,3027,2541,,,
Areopagus,Athens,Public,Secretary of the Demos,Athens,Magistracy,Metrophanes Dionysiou,Athens,Male,Metrophanes Dionysiou,,True,False,,,84,7,68,43,56,151,203,164,274,104,2,2,2,2,0,0,2,0,0,5,1,1,0,,1,1,1,0,0,,,,,False,1000,3028,2059,,,
Areopagus,Athens,Public,Secretary of the Demos,Athens,Magistracy,Eutykhos,Athens,Male,Eutykhos,,True,False,,,84,7,68,43,56,151,203,164,274,104,2,2,2,2,0,0,2,0,0,5,1,1,0,,1,1,1,0,0,,,,,False,1000,3028,2490,,,
