Feature: Type,Feature: Details,Inscription: IE,Inscription: Order,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Inscription: Letter Height Averaged,Inscription: Language,Inscription: Character Count,Inscription: Diplomatic Character Count,Inscription: Word Count,Inscription: Diplomatic Word Count,Inscription: Total Institutions,Inscription: Total Honors,Inscription: Total People,Inscription: Total Sponsors,Inscription: Total Honorands,Inscription: Total Athenians,Inscription: Total Romans,Inscription: ID,Inscription: Low Date,Inscription: Low Date Uncertainty,Inscription: High Date,Inscription: High Date Uncertainty,Inscription: Notes,Feature: Uncertainty,Feature: Notes
Outer Courtyard,,453,198,Statue Base for the Deified Hadrian Panhellenios,Base,Dedication,Outer Courtyard,160.0,44,0.1100,True,Greek,24,20,6,5,1,1,1,0,1,0,1,453,138,False,182,False,,,
Bronze Cuttings,,453,198,Statue Base for the Deified Hadrian Panhellenios,Base,Dedication,Outer Courtyard,160.0,44,0.1100,True,Greek,24,20,6,5,1,1,1,0,1,0,1,453,138,False,182,False,,,
Removed from Site,,454,199,"Statue Base for an Unknown Hierophantis, Daughter of a Demetrios",Base,Dedication,,160.0,44,0.0220,,Greek,411,407,68,66,0,2,3,0,0,2,1,454,138,True,182,True,,,
Office(s) of Relative(s),,455,200,"Statue Base for L. Vipsanios Aiolion Phlyeus, Exegete of the Eumolpidai",Base,Dedication,,145.0,10,0.0260,,Greek,378,101,124,31,4,6,3,3,3,3,0,455,140,True,150,False,,,
Standard Abbreviation,,455,200,"Statue Base for L. Vipsanios Aiolion Phlyeus, Exegete of the Eumolpidai",Base,Dedication,,145.0,10,0.0260,,Greek,378,101,124,31,4,6,3,3,3,3,0,455,140,True,150,False,,,
No Abbreviation,,456,201,"Statue Base for Relative of L. Vipsanios Aiolion, Exegete of the Eumolpidai",Base,Dedication,,145.0,10,0.0315,True,Greek,42,14,14,7,1,1,3,0,1,3,0,456,140,True,150,False,,,
Bronze Cuttings,,458,203,"Statue Base for Iun. [-] Meletine, Daughter of Iun. Patron of Berenikidai, Hearth-Initiate",Base,Dedication,,145.0,10,0.0110,,Greek,199,127,46,25,0,2,5,2,1,5,0,458,140,False,150,False,,,
No Abbreviation,,458,203,"Statue Base for Iun. [-] Meletine, Daughter of Iun. Patron of Berenikidai, Hearth-Initiate",Base,Dedication,,145.0,10,0.0110,,Greek,199,127,46,25,0,2,5,2,1,5,0,458,140,False,150,False,,,
Altered or Recut,,458,203,"Statue Base for Iun. [-] Meletine, Daughter of Iun. Patron of Berenikidai, Hearth-Initiate",Base,Dedication,,145.0,10,0.0110,,Greek,199,127,46,25,0,2,5,2,1,5,0,458,140,False,150,False,,,
No Abbreviation,,459,204,"Statue Base for Nummia Kleo, Hearth-Initiate",Base,Dedication,,145.0,10,0.0300,,Greek,144,40,41,15,0,2,4,2,1,4,0,459,140,True,150,False,,,
Office(s) of Relative(s),,459,204,"Statue Base for Nummia Kleo, Hearth-Initiate",Base,Dedication,,145.0,10,0.0300,,Greek,144,40,41,15,0,2,4,2,1,4,0,459,140,True,150,False,,,
Non-Standard Abbreviation,,460,205,Statue Base for Ti. Kl. Attikos of Marathon,Base,Dedication,,125.0,50,0.0230,,Greek,34,15,9,4,0,0,1,0,1,1,0,460,100,False,150,False,,,
Between Propylaea,,461,206,"Statue Base Galeria Annia Faustina Sebaste, Daughter of Emperor Antoninus and Wife of M. Aur. Verus",Base,Dedication,,153.0,14,0.0445,True,Greek,0,0,1,1,0,1,2,0,1,0,2,701,146,False,160,False,,,
No Abbreviation,,461,206,"Statue Base Galeria Annia Faustina Sebaste, Daughter of Emperor Antoninus and Wife of M. Aur. Verus",Base,Dedication,,153.0,14,0.0445,True,Greek,0,0,1,1,0,1,2,0,1,0,2,701,146,False,160,False,,,
No Abbreviation,,461,207,"Statue Base for Domitia Lucilla, Daughter of M. Aur. Verus",Base,Dedication,,153.0,14,0.0615,True,Greek,0,0,1,1,0,0,2,0,1,0,2,702,146,False,160,False,,,
Between Propylaea,,461,207,"Statue Base for Domitia Lucilla, Daughter of M. Aur. Verus",Base,Dedication,,153.0,14,0.0615,True,Greek,0,0,1,1,0,0,2,0,1,0,2,702,146,False,160,False,,,
No Abbreviation,,462,208,"Statue Base for Nummios Nigreinos, Hierokeryx",Base,Dedication,Before the Telestrion,150.0,10,,,Greek,27,21,6,5,0,1,1,0,1,1,0,462,145,False,155,False,,,
Non-Standard Abbreviation,,462,208,"Statue Base for Nummios Nigreinos, Hierokeryx",Base,Dedication,Before the Telestrion,150.0,10,,,Greek,27,21,6,5,0,1,1,0,1,1,0,462,145,False,155,False,,,
Relief,,462,208,"Statue Base for Nummios Nigreinos, Hierokeryx",Base,Dedication,Before the Telestrion,150.0,10,,,Greek,27,21,6,5,0,1,1,0,1,1,0,462,145,False,155,False,,,
Bronze Cuttings,,462,208,"Statue Base for Nummios Nigreinos, Hierokeryx",Base,Dedication,Before the Telestrion,150.0,10,,,Greek,27,21,6,5,0,1,1,0,1,1,0,462,145,False,155,False,,,
Front of Telesterion,,462,208,"Statue Base for Nummios Nigreinos, Hierokeryx",Base,Dedication,Before the Telestrion,150.0,10,,,Greek,27,21,6,5,0,1,1,0,1,1,0,462,145,False,155,False,,,
???' ?????????????,,463,209,Statue Base for Menandra of Ephesos,Base,Dedication,,150.0,50,0.0170,,Greek,675,471,153,90,2,23,4,0,1,4,0,463,125,False,175,False,,,
Office(s) of Relative(s),,463,209,Statue Base for Menandra of Ephesos,Base,Dedication,,150.0,50,0.0170,,Greek,675,471,153,90,2,23,4,0,1,4,0,463,125,False,175,False,,,
Beyond Immediate Family,,463,209,Statue Base for Menandra of Ephesos,Base,Dedication,,150.0,50,0.0170,,Greek,675,471,153,90,2,23,4,0,1,4,0,463,125,False,175,False,,,
Unexpressed Nomina,,463,209,Statue Base for Menandra of Ephesos,Base,Dedication,,150.0,50,0.0170,,Greek,675,471,153,90,2,23,4,0,1,4,0,463,125,False,175,False,,,
Mix of Abbreviation Styles,,463,209,Statue Base for Menandra of Ephesos,Base,Dedication,,150.0,50,0.0170,,Greek,675,471,153,90,2,23,4,0,1,4,0,463,125,False,175,False,,,
Part of Praenomen Dropped,,463,209,Statue Base for Menandra of Ephesos,Base,Dedication,,150.0,50,0.0170,,Greek,675,471,153,90,2,23,4,0,1,4,0,463,125,False,175,False,,,
Filiation Symbol or Nomina Suprabar,,463,209,Statue Base for Menandra of Ephesos,Base,Dedication,,150.0,50,0.0170,,Greek,675,471,153,90,2,23,4,0,1,4,0,463,125,False,175,False,,,
Mix of Abbreviation Styles,,464,210,Statue Base D. Iun. Menneas D. Iun. Patronos Berenikides,Base,Dedication,,150.0,50,0.0170,,Greek,157,144,36,31,0,2,5,2,1,5,0,464,125,False,175,False,,,
Emphasis with Interpunct or Vacat,,464,210,Statue Base D. Iun. Menneas D. Iun. Patronos Berenikides,Base,Dedication,,150.0,50,0.0170,,Greek,157,144,36,31,0,2,5,2,1,5,0,464,125,False,175,False,,,
"Cuttings for Staff, Torch, or Other",,465,211,"Statue Base for Phirmos Gargettios, Hierophant",Base,Dedication,Outer Courtyard,150.0,50,0.0180,,Greek,72,63,19,15,1,1,1,0,1,1,0,465,125,True,175,True,,,
Oversized Cuttings,,465,211,"Statue Base for Phirmos Gargettios, Hierophant",Base,Dedication,Outer Courtyard,150.0,50,0.0180,,Greek,72,63,19,15,1,1,1,0,1,1,0,465,125,True,175,True,,,
"At Site, Moved in Modernity",,465,211,"Statue Base for Phirmos Gargettios, Hierophant",Base,Dedication,Outer Courtyard,150.0,50,0.0180,,Greek,72,63,19,15,1,1,1,0,1,1,0,465,125,True,175,True,,,
Outer Courtyard,,465,211,"Statue Base for Phirmos Gargettios, Hierophant",Base,Dedication,Outer Courtyard,150.0,50,0.0180,,Greek,72,63,19,15,1,1,1,0,1,1,0,465,125,True,175,True,,,
Emphasis with Interpunct or Vacat,,466,212,"Statue Base for D. Iun. Peiraieus, Hierophant",Column/Herm,Dedication,,150.0,50,0.0210,,Greek,65,41,17,12,0,1,2,1,1,2,0,466,125,True,175,True,,,
Mix of Abbreviation Styles,,466,212,"Statue Base for D. Iun. Peiraieus, Hierophant",Column/Herm,Dedication,,150.0,50,0.0210,,Greek,65,41,17,12,0,1,2,1,1,2,0,466,125,True,175,True,,,
Missing,,467,213,"Statue Base for an Unknown Hearth-Initiate, Relative of the Daduch Ti. Kl. Lysiades",Base,Dedication,,150.0,50,,,Greek,53,19,13,6,0,2,1,0,1,1,0,467,125,True,175,True,,,
Office(s) of Relative(s),,467,213,"Statue Base for an Unknown Hearth-Initiate, Relative of the Daduch Ti. Kl. Lysiades",Base,Dedication,,150.0,50,,,Greek,53,19,13,6,0,2,1,0,1,1,0,467,125,True,175,True,,,
Non-Standard Abbreviation,,467,213,"Statue Base for an Unknown Hearth-Initiate, Relative of the Daduch Ti. Kl. Lysiades",Base,Dedication,,150.0,50,,,Greek,53,19,13,6,0,2,1,0,1,1,0,467,125,True,175,True,,,
Filiation Symbol or Nomina Suprabar,,468,214,Statue Base for Ael. Praxagoras of Melite,Base,Dedication,,150.0,50,0.0330,,Greek,143,40,44,22,0,1,3,0,1,3,0,468,125,True,175,True,,,
Beyond Immediate Family,,468,214,Statue Base for Ael. Praxagoras of Melite,Base,Dedication,,150.0,50,0.0330,,Greek,143,40,44,22,0,1,3,0,1,3,0,468,125,True,175,True,,,
Standard Abbreviation,,468,214,Statue Base for Ael. Praxagoras of Melite,Base,Dedication,,150.0,50,0.0330,,Greek,143,40,44,22,0,1,3,0,1,3,0,468,125,True,175,True,,,
Part of Praenomen Dropped,,468,214,Statue Base for Ael. Praxagoras of Melite,Base,Dedication,,150.0,50,0.0330,,Greek,143,40,44,22,0,1,3,0,1,3,0,468,125,True,175,True,,,
Emphasis with Interpunct or Vacat,,468,214,Statue Base for Ael. Praxagoras of Melite,Base,Dedication,,150.0,50,0.0330,,Greek,143,40,44,22,0,1,3,0,1,3,0,468,125,True,175,True,,,
Beyond Immediate Family,,470,216,"Statue Base for Klementiane, Daughter of Arrian",Base,Dedication,,175.0,50,0.0160,,Greek,132,131,24,24,1,2,2,1,1,2,0,470,150,True,200,False,,,
Reused in Architecture,,470,216,"Statue Base for Klementiane, Daughter of Arrian",Base,Dedication,,175.0,50,0.0160,,Greek,132,131,24,24,1,2,2,1,1,2,0,470,150,True,200,False,,,
Reused in Architecture,,471,217,Statue Base for an Unknown Emperor,Base,Dedication,,175.0,50,0.0800,,Greek,74,39,20,10,0,2,2,1,1,1,1,471,150,True,200,False,,,
No Abbreviation,,472,218,Statue Base for an Unknown Member of the Klaudii of Melite,Base,Dedication,,175.0,50,0.0250,,Greek,66,8,19,7,1,2,2,0,1,2,0,472,150,True,200,True,,,
Part of Praenomen Dropped,,472,218,Statue Base for an Unknown Member of the Klaudii of Melite,Base,Dedication,,175.0,50,0.0250,,Greek,66,8,19,7,1,2,2,0,1,2,0,472,150,True,200,True,,,
Southern Wall,,473,219,"Statue Base for Sergius Salvidius Orfitus, Dedicated by The Areopagus, Boule, and Demos",Base,Dedication,South Wall,155.0,10,0.0550,True,Greek,0,0,1,1,3,0,1,3,1,0,1,691,150,False,160,False,,,
Coronae or Bucrania,,473,219,"Statue Base for Sergius Salvidius Orfitus, Dedicated by The Areopagus, Boule, and Demos",Base,Dedication,South Wall,155.0,10,0.0550,True,Greek,0,0,1,1,3,0,1,3,1,0,1,691,150,False,160,False,,,
No Abbreviation,,473,219,"Statue Base for Sergius Salvidius Orfitus, Dedicated by The Areopagus, Boule, and Demos",Base,Dedication,South Wall,155.0,10,0.0550,True,Greek,0,0,1,1,3,0,1,3,1,0,1,691,150,False,160,False,,,
Southern Wall,,473,220,"Statue Base for Calpurnia Lepida, Daughter of L., Wife of Scipio Orfitus, Dedicated by the Areopagus, Boule, and Demos",Base,Dedication,South Wall,155.0,10,0.0550,True,Greek,0,0,1,1,3,0,2,3,1,0,2,692,150,False,160,False,,,
Coronae or Bucrania,,473,220,"Statue Base for Calpurnia Lepida, Daughter of L., Wife of Scipio Orfitus, Dedicated by the Areopagus, Boule, and Demos",Base,Dedication,South Wall,155.0,10,0.0550,True,Greek,0,0,1,1,3,0,2,3,1,0,2,692,150,False,160,False,,,
No Abbreviation,,473,220,"Statue Base for Calpurnia Lepida, Daughter of L., Wife of Scipio Orfitus, Dedicated by the Areopagus, Boule, and Demos",Base,Dedication,South Wall,155.0,10,0.0550,True,Greek,0,0,1,1,3,0,2,3,1,0,2,692,150,False,160,False,,,
No Abbreviation,,473,221,"Statue Base for Sergius Calpurius Scipio Orfitus, Son of Scipio Orfitus, Dedicated by the Areopagus, Boule, and Demos",Base,Dedication,South Wall,155.0,10,0.0550,True,Greek,0,0,1,1,3,0,2,3,1,0,2,693,150,False,160,False,,,
Southern Wall,,473,221,"Statue Base for Sergius Calpurius Scipio Orfitus, Son of Scipio Orfitus, Dedicated by the Areopagus, Boule, and Demos",Base,Dedication,South Wall,155.0,10,0.0550,True,Greek,0,0,1,1,3,0,2,3,1,0,2,693,150,False,160,False,,,
Southern Wall,,473,222,"Statue Base for L. Calpurnius Scipio, son of Orfitus, Dedicated by the Areopagus, Boule, and Demos",Base,Dedication,South Wall,155.0,10,0.0550,True,Greek,0,0,1,1,3,0,2,3,1,0,2,694,150,False,160,False,,,
No Abbreviation,,473,222,"Statue Base for L. Calpurnius Scipio, son of Orfitus, Dedicated by the Areopagus, Boule, and Demos",Base,Dedication,South Wall,155.0,10,0.0550,True,Greek,0,0,1,1,3,0,2,3,1,0,2,694,150,False,160,False,,,
Bronze Cuttings,,474,223,"Statue Base for P. Ael. Teimosthenes Berenikides, Son of Ael. Zenon, Hearth-Initiate",Base,Dedication,South Wall,155.0,10,0.0200,,Greek,91,78,21,17,0,2,2,1,1,2,0,474,150,False,160,False,,,
Filiation Symbol or Nomina Suprabar,,474,223,"Statue Base for P. Ael. Teimosthenes Berenikides, Son of Ael. Zenon, Hearth-Initiate",Base,Dedication,South Wall,155.0,10,0.0200,,Greek,91,78,21,17,0,2,2,1,1,2,0,474,150,False,160,False,,,
Emphasis with Interpunct or Vacat,,474,223,"Statue Base for P. Ael. Teimosthenes Berenikides, Son of Ael. Zenon, Hearth-Initiate",Base,Dedication,South Wall,155.0,10,0.0200,,Greek,91,78,21,17,0,2,2,1,1,2,0,474,150,False,160,False,,,
Mix of Abbreviation Styles,,474,223,"Statue Base for P. Ael. Teimosthenes Berenikides, Son of Ael. Zenon, Hearth-Initiate",Base,Dedication,South Wall,155.0,10,0.0200,,Greek,91,78,21,17,0,2,2,1,1,2,0,474,150,False,160,False,,,
Standard Abbreviation,,474,223,"Statue Base for P. Ael. Teimosthenes Berenikides, Son of Ael. Zenon, Hearth-Initiate",Base,Dedication,South Wall,155.0,10,0.0200,,Greek,91,78,21,17,0,2,2,1,1,2,0,474,150,False,160,False,,,
Office(s) of Relative(s),,474,223,"Statue Base for P. Ael. Teimosthenes Berenikides, Son of Ael. Zenon, Hearth-Initiate",Base,Dedication,South Wall,155.0,10,0.0200,,Greek,91,78,21,17,0,2,2,1,1,2,0,474,150,False,160,False,,,
"At Site, Moved in Modernity",,474,223,"Statue Base for P. Ael. Teimosthenes Berenikides, Son of Ael. Zenon, Hearth-Initiate",Base,Dedication,South Wall,155.0,10,0.0200,,Greek,91,78,21,17,0,2,2,1,1,2,0,474,150,False,160,False,,,
Front of Telesterion,,474,223,"Statue Base for P. Ael. Teimosthenes Berenikides, Son of Ael. Zenon, Hearth-Initiate",Base,Dedication,South Wall,155.0,10,0.0200,,Greek,91,78,21,17,0,2,2,1,1,2,0,474,150,False,160,False,,,
Child Size Cuttings,,474,223,"Statue Base for P. Ael. Teimosthenes Berenikides, Son of Ael. Zenon, Hearth-Initiate",Base,Dedication,South Wall,155.0,10,0.0200,,Greek,91,78,21,17,0,2,2,1,1,2,0,474,150,False,160,False,,,
Unexpressed Nomina,,475,224,"Statue Base for Elpinike, Daughter of Herodes Attikos, Hearth-Initiate",Base,Dedication,,155.0,10,0.0245,True,Greek,88,14,22,7,0,0,3,0,1,2,1,475,150,False,160,False,,,
Front of Telesterion,,476,225,"Statue Base for Regilla, Wife of Herodes Attikos",Base,Dedication,Before the Telestrion,160.0,10,0.0280,,Greek,131,129,26,25,0,3,3,1,1,1,2,476,155,False,165,False,,,
Beyond Immediate Family,,476,225,"Statue Base for Regilla, Wife of Herodes Attikos",Base,Dedication,Before the Telestrion,160.0,10,0.0280,,Greek,131,129,26,25,0,3,3,1,1,1,2,476,155,False,165,False,,,
Office(s) of Relative(s),,476,225,"Statue Base for Regilla, Wife of Herodes Attikos",Base,Dedication,Before the Telestrion,160.0,10,0.0280,,Greek,131,129,26,25,0,3,3,1,1,1,2,476,155,False,165,False,,,
"At Site, Moved in Modernity",,476,225,"Statue Base for Regilla, Wife of Herodes Attikos",Base,Dedication,Before the Telestrion,160.0,10,0.0280,,Greek,131,129,26,25,0,3,3,1,1,1,2,476,155,False,165,False,,,
Unexpressed Nomina,,476,225,"Statue Base for Regilla, Wife of Herodes Attikos",Base,Dedication,Before the Telestrion,160.0,10,0.0280,,Greek,131,129,26,25,0,3,3,1,1,1,2,476,155,False,165,False,,,
Office(s) of Relative(s),,477,226,"Statue Base for Ti. Kl. Appios Ateilios Bradoua, Son of Kl. Herodes, Hearth-Initiate",Base,Dedication,,162.5,5,0.0120,,Greek,147,48,37,15,0,4,4,0,1,2,2,477,160,True,165,False,,,
Standard Abbreviation,,477,226,"Statue Base for Ti. Kl. Appios Ateilios Bradoua, Son of Kl. Herodes, Hearth-Initiate",Base,Dedication,,162.5,5,0.0120,,Greek,147,48,37,15,0,4,4,0,1,2,2,477,160,True,165,False,,,
Part of Praenomen Dropped,,477,226,"Statue Base for Ti. Kl. Appios Ateilios Bradoua, Son of Kl. Herodes, Hearth-Initiate",Base,Dedication,,162.5,5,0.0120,,Greek,147,48,37,15,0,4,4,0,1,2,2,477,160,True,165,False,,,
No Abbreviation,,478,227,Statue Base for Ael. Praxagoras Themistokleous Meliteus,Base,Dedication,South Wall,165.0,10,0.0320,,Greek,203,77,49,20,0,4,4,0,1,4,0,478,160,False,170,True,,,
Beyond Immediate Family,,478,227,Statue Base for Ael. Praxagoras Themistokleous Meliteus,Base,Dedication,South Wall,165.0,10,0.0320,,Greek,203,77,49,20,0,4,4,0,1,4,0,478,160,False,170,True,,,
Office(s) of Relative(s),,478,227,Statue Base for Ael. Praxagoras Themistokleous Meliteus,Base,Dedication,South Wall,165.0,10,0.0320,,Greek,203,77,49,20,0,4,4,0,1,4,0,478,160,False,170,True,,,
Southern Wall,,478,227,Statue Base for Ael. Praxagoras Themistokleous Meliteus,Base,Dedication,South Wall,165.0,10,0.0320,,Greek,203,77,49,20,0,4,4,0,1,4,0,478,160,False,170,True,,,
Part of Praenomen Dropped,,478,227,Statue Base for Ael. Praxagoras Themistokleous Meliteus,Base,Dedication,South Wall,165.0,10,0.0320,,Greek,203,77,49,20,0,4,4,0,1,4,0,478,160,False,170,True,,,
Office(s) of Relative(s),,479,228,Statue Base for Aelius Praxagoras Themistokles Meliteus,Base,Dedication,South Wall,165.0,10,0.0280,,Greek,215,72,52,23,0,4,4,0,1,4,0,479,160,False,170,True,,,
Beyond Immediate Family,,479,228,Statue Base for Aelius Praxagoras Themistokles Meliteus,Base,Dedication,South Wall,165.0,10,0.0280,,Greek,215,72,52,23,0,4,4,0,1,4,0,479,160,False,170,True,,,
Standard Abbreviation,,479,228,Statue Base for Aelius Praxagoras Themistokles Meliteus,Base,Dedication,South Wall,165.0,10,0.0280,,Greek,215,72,52,23,0,4,4,0,1,4,0,479,160,False,170,True,,,
Part of Praenomen Dropped,,479,228,Statue Base for Aelius Praxagoras Themistokles Meliteus,Base,Dedication,South Wall,165.0,10,0.0280,,Greek,215,72,52,23,0,4,4,0,1,4,0,479,160,False,170,True,,,
Southern Wall,,479,228,Statue Base for Aelius Praxagoras Themistokles Meliteus,Base,Dedication,South Wall,165.0,10,0.0280,,Greek,215,72,52,23,0,4,4,0,1,4,0,479,160,False,170,True,,,
No Abbreviation,,480,229,"Statue Base for an Unknown Son of P. Ael. Praxagoras Meliteus, Hearth-Initiate",Base,Dedication,South Wall,165.0,10,0.0460,,Greek,64,17,19,8,0,1,2,0,1,2,0,480,160,False,170,True,,,
Southern Wall,,480,229,"Statue Base for an Unknown Son of P. Ael. Praxagoras Meliteus, Hearth-Initiate",Base,Dedication,South Wall,165.0,10,0.0460,,Greek,64,17,19,8,0,1,2,0,1,2,0,480,160,False,170,True,,,
Removed from Site,,481,230,"Statue Base for Fl. Xenion Marathonsios, Hearth-Initiate, and Others",Base,Dedication,,165.0,10,,,Greek,79,45,25,13,0,2,2,1,1,2,0,481,160,False,170,True,,,
Non-Standard Abbreviation,,481,230,"Statue Base for Fl. Xenion Marathonsios, Hearth-Initiate, and Others",Base,Dedication,,165.0,10,,,Greek,79,45,25,13,0,2,2,1,1,2,0,481,160,False,170,True,,,
Missing,,481,230,"Statue Base for Fl. Xenion Marathonsios, Hearth-Initiate, and Others",Base,Dedication,,165.0,10,,,Greek,79,45,25,13,0,2,2,1,1,2,0,481,160,False,170,True,,,
No Abbreviation,,482,231,Altar(?) for the Health of M. Aurelius and L. Verus,Base,Dedication,,165.0,8,0.0150,,Greek,141,88,41,27,0,2,3,1,2,0,2,482,161,False,169,False,,,
Filiation Symbol or Nomina Suprabar,,482,231,Altar(?) for the Health of M. Aurelius and L. Verus,Base,Dedication,,165.0,8,0.0150,,Greek,141,88,41,27,0,2,3,1,2,0,2,482,161,False,169,False,,,
Mix of Abbreviation Styles,,482,231,Altar(?) for the Health of M. Aurelius and L. Verus,Base,Dedication,,165.0,8,0.0150,,Greek,141,88,41,27,0,2,3,1,2,0,2,482,161,False,169,False,,,
Mix of Abbreviation Styles,,483,232,"Statue Base T. Fl. Hierophantes Paianieus, Son of T. Fl. Alkibiades",Base,Dedication,Before the Telestrion,167.0,10,0.0130,,Greek,1196,996,273,202,4,12,9,3,1,8,1,483,162,False,172,False,,,
Front of Telesterion,,483,232,"Statue Base T. Fl. Hierophantes Paianieus, Son of T. Fl. Alkibiades",Base,Dedication,Before the Telestrion,167.0,10,0.0130,,Greek,1196,996,273,202,4,12,9,3,1,8,1,483,162,False,172,False,,,
Office(s) of Relative(s),,483,232,"Statue Base T. Fl. Hierophantes Paianieus, Son of T. Fl. Alkibiades",Base,Dedication,Before the Telestrion,167.0,10,0.0130,,Greek,1196,996,273,202,4,12,9,3,1,8,1,483,162,False,172,False,,,
Beyond Immediate Family,,483,232,"Statue Base T. Fl. Hierophantes Paianieus, Son of T. Fl. Alkibiades",Base,Dedication,Before the Telestrion,167.0,10,0.0130,,Greek,1196,996,273,202,4,12,9,3,1,8,1,483,162,False,172,False,,,
Filiation Symbol or Nomina Suprabar,,483,232,"Statue Base T. Fl. Hierophantes Paianieus, Son of T. Fl. Alkibiades",Base,Dedication,Before the Telestrion,167.0,10,0.0130,,Greek,1196,996,273,202,4,12,9,3,1,8,1,483,162,False,172,False,,,
Reused in Architecture,,484,233,"Dedicatory Verse in Honor of Herodes Attikos, Not from the Sanctuary",Base,Verse,,162.0,0,0.0200,,Greek,152,140,53,45,0,0,2,0,1,1,1,484,162,True,162,True,,,
Missing,,485,234,"Statue Base for M. Aur. Miltiades, Son of Agathokles of Marathon, Hearth-Initiate",Base,Dedication,,165.0,10,,,Greek,74,42,27,11,0,1,2,1,1,2,0,485,160,False,170,False,,,
Standard Abbreviation,,485,234,"Statue Base for M. Aur. Miltiades, Son of Agathokles of Marathon, Hearth-Initiate",Base,Dedication,,165.0,10,,,Greek,74,42,27,11,0,1,2,1,1,2,0,485,160,False,170,False,,,
Unexpressed Nomina,,486,235,"Statue Base for the Savior Gods/Godesses of Brotherly Emperors, Dedicated by the Polis during the Epimelitea of Herodes",Base,Dedication,,171.0,10,0.0920,,Greek,0,0,1,1,3,2,3,3,2,1,2,695,166,False,176,False,,,
Part of Praenomen Dropped,,486,235,"Statue Base for the Savior Gods/Godesses of Brotherly Emperors, Dedicated by the Polis during the Epimelitea of Herodes",Base,Dedication,,171.0,10,0.0920,,Greek,0,0,1,1,3,2,3,3,2,1,2,695,166,False,176,False,,,
Part of Praenomen Dropped,,486,236,"Statue Base for the Savior Gods/Godesses of the Brotherly Emperors, Dedicated By the Polis During the Epimelitea of Herodes",Base,Dedication,,171.0,10,0.0920,,Greek,0,0,1,1,3,0,1,3,1,0,1,696,166,False,176,False,,,
Beyond Immediate Family,,487,237,Statue Base for T. Fl. Euthykomas Paianieus,Altar,Dedication,,166.0,10,0.0270,,Greek,247,169,83,48,1,3,6,1,1,6,0,487,161,False,171,False,,,
???' ?????????????,,487,237,Statue Base for T. Fl. Euthykomas Paianieus,Altar,Dedication,,166.0,10,0.0270,,Greek,247,169,83,48,1,3,6,1,1,6,0,487,161,False,171,False,,,
No Abbreviation,,487,237,Statue Base for T. Fl. Euthykomas Paianieus,Altar,Dedication,,166.0,10,0.0270,,Greek,247,169,83,48,1,3,6,1,1,6,0,487,161,False,171,False,,,
Office(s) of Relative(s),,487,237,Statue Base for T. Fl. Euthykomas Paianieus,Altar,Dedication,,166.0,10,0.0270,,Greek,247,169,83,48,1,3,6,1,1,6,0,487,161,False,171,False,,,
"At Site, Moved in Modernity",,488,238,Statue Base for T. Fl. Menandros Paianieus,Stele,Dedication,South Wall,166.0,10,0.0370,,Greek,136,132,32,29,1,0,3,2,1,3,0,488,161,False,171,False,,,
???' ?????????????,,488,238,Statue Base for T. Fl. Menandros Paianieus,Stele,Dedication,South Wall,166.0,10,0.0370,,Greek,136,132,32,29,1,0,3,2,1,3,0,488,161,False,171,False,,,
No Abbreviation,,488,238,Statue Base for T. Fl. Menandros Paianieus,Stele,Dedication,South Wall,166.0,10,0.0370,,Greek,136,132,32,29,1,0,3,2,1,3,0,488,161,False,171,False,,,
Coronae or Bucrania,,488,238,Statue Base for T. Fl. Menandros Paianieus,Stele,Dedication,South Wall,166.0,10,0.0370,,Greek,136,132,32,29,1,0,3,2,1,3,0,488,161,False,171,False,,,
Southern Wall,,488,238,Statue Base for T. Fl. Menandros Paianieus,Stele,Dedication,South Wall,166.0,10,0.0370,,Greek,136,132,32,29,1,0,3,2,1,3,0,488,161,False,171,False,,,
Front of Telesterion,,490,240,"Statue Base for M. Iul. Apellas Marathonios, Archon of the Eumolpidai",Altar,Dedication,Before the Telestrion,170.0,10,0.0280,,Greek,187,150,45,31,2,1,4,2,1,4,0,490,165,False,175,False,,,
???? ?? ?????????,,490,240,"Statue Base for M. Iul. Apellas Marathonios, Archon of the Eumolpidai",Altar,Dedication,Before the Telestrion,170.0,10,0.0280,,Greek,187,150,45,31,2,1,4,2,1,4,0,490,165,False,175,False,,,
No Abbreviation,,490,240,"Statue Base for M. Iul. Apellas Marathonios, Archon of the Eumolpidai",Altar,Dedication,Before the Telestrion,170.0,10,0.0280,,Greek,187,150,45,31,2,1,4,2,1,4,0,490,165,False,175,False,,,
Standard Abbreviation,,490,240,"Statue Base for M. Iul. Apellas Marathonios, Archon of the Eumolpidai",Altar,Dedication,Before the Telestrion,170.0,10,0.0280,,Greek,187,150,45,31,2,1,4,2,1,4,0,490,165,False,175,False,,,
Mix of Abbreviation Styles,,490,240,"Statue Base for M. Iul. Apellas Marathonios, Archon of the Eumolpidai",Altar,Dedication,Before the Telestrion,170.0,10,0.0280,,Greek,187,150,45,31,2,1,4,2,1,4,0,490,165,False,175,False,,,
