Feature: Type,Feature: Details,Inscription: IE,Inscription: Order,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Inscription: Letter Height Averaged,Inscription: Language,Inscription: Character Count,Inscription: Diplomatic Character Count,Inscription: Word Count,Inscription: Diplomatic Word Count,Inscription: Total Institutions,Inscription: Total Honors,Inscription: Total People,Inscription: Total Sponsors,Inscription: Total Honorands,Inscription: Total Athenians,Inscription: Total Romans,Inscription: ID,Inscription: Low Date,Inscription: Low Date Uncertainty,Inscription: High Date,Inscription: High Date Uncertainty,Inscription: Notes,Feature: Uncertainty,Feature: Notes
Altered or Recut,,291,31,"Statue Base for Khrysothemis Phaidrou Berenikides, Dedicated by the Demos",Base,Dedication,,-40.0,10,0.0155,True,Greek,9,8,4,4,1,0,2,1,1,2,0,678,-45,False,-35,False,,,
Front of Telesterion,,291,31,"Statue Base for Khrysothemis Phaidrou Berenikides, Dedicated by the Demos",Base,Dedication,,-40.0,10,0.0155,True,Greek,9,8,4,4,1,0,2,1,1,2,0,678,-45,False,-35,False,,,
No Abbreviation,,292,32,Statue Base for Sempronia L.F. Atratina,Base,Dedication,,-39.5,11,0.0340,,Greek,78,71,19,16,1,0,2,1,1,0,2,292,-45,False,-34,False,,,
Bronze Cuttings,,292,32,Statue Base for Sempronia L.F. Atratina,Base,Dedication,,-39.5,11,0.0340,,Greek,78,71,19,16,1,0,2,1,1,0,2,292,-45,False,-34,False,,,
No Abbreviation,,293,33,Bench Deadicted by Caius Creperius C.F.,Base,Dedication,,-40.0,10,0.0220,,Greek,47,36,14,9,0,0,1,0,0,0,1,293,-45,True,-35,True,,,
Emphasis with Interpunct or Vacat,,293,33,Bench Deadicted by Caius Creperius C.F.,Base,Dedication,,-40.0,10,0.0220,,Greek,47,36,14,9,0,0,1,0,0,0,1,293,-45,True,-35,True,,,
Between Propylaea,,293,33,Bench Deadicted by Caius Creperius C.F.,Base,Dedication,,-40.0,10,0.0220,,Greek,47,36,14,9,0,0,1,0,0,0,1,293,-45,True,-35,True,,,
Southern Wall,,294,34,Statue Base for Marcus Titius L.F.,Base,Dedication,Between the Propylaea,-35.0,10,0.0380,,Greek,48,42,12,11,0,0,1,0,1,0,1,294,-40,False,-30,True,,,
"At Site, Moved in Modernity",,295,35,"Statue Base for Kallikratides Syndromou Trikorysios, Hoplite General",Base,Dedication,South Wall,-32.5,5,0.0345,True,Greek,198,149,50,36,3,1,1,3,1,1,0,295,-35,False,-30,True,,,
"At Site, Moved in Modernity",,296,36,"Livia Drousilla, Wife of the Emperor Augustus Caesar",Building or Monument,Dedication,,-26.0,10,0.0400,,Greek,0,0,1,1,1,1,1,1,1,0,1,703,-31,False,-21,False,,,
Filiation Symbol or Nomina Suprabar,,300,41,Honorary Decree for Themistokles Theophrastou Hagnousios,Base,Decree,,-25.0,10,0.0095,True,Greek,3533,3223,781,638,3,18,47,2,1,47,0,300,-30,False,-20,False,,,
Beyond Immediate Family,,300,41,Honorary Decree for Themistokles Theophrastou Hagnousios,Base,Decree,,-25.0,10,0.0095,True,Greek,3533,3223,781,638,3,18,47,2,1,47,0,300,-30,False,-20,False,,,
Office(s) of Relative(s),,300,41,Honorary Decree for Themistokles Theophrastou Hagnousios,Base,Decree,,-25.0,10,0.0095,True,Greek,3533,3223,781,638,3,18,47,2,1,47,0,300,-30,False,-20,False,,,
Front of Telesterion,,301,42,"Statue Base for the Daduch Theophrastos, son of the Daduch Themistokles of Hagnousios, Dedicated by the Demos",Base,Dedication,,-20.0,10,0.0235,True,Greek,9,8,4,4,1,1,2,1,1,2,0,679,-25,False,-15,False,,,
Office(s) of Relative(s),,301,42,"Statue Base for the Daduch Theophrastos, son of the Daduch Themistokles of Hagnousios, Dedicated by the Demos",Base,Dedication,,-20.0,10,0.0235,True,Greek,9,8,4,4,1,1,2,1,1,2,0,679,-25,False,-15,False,,,
Beyond Immediate Family,,301,42,"Statue Base for the Daduch Theophrastos, son of the Daduch Themistokles of Hagnousios, Dedicated by the Demos",Base,Dedication,,-20.0,10,0.0235,True,Greek,9,8,4,4,1,1,2,1,1,2,0,679,-25,False,-15,False,,,
"At Site, Moved in Modernity",,301,42,"Statue Base for the Daduch Theophrastos, son of the Daduch Themistokles of Hagnousios, Dedicated by the Demos",Base,Dedication,,-20.0,10,0.0235,True,Greek,9,8,4,4,1,1,2,1,1,2,0,679,-25,False,-15,False,,,
Beyond Immediate Family,,301,43,"Statue Base for the Daduch Themistokles, Son of the Daduch Themistokles, Dedicated by the Demos",Base,Dedication,,-20.0,10,0.0235,True,Greek,37,36,10,10,1,1,2,1,1,2,0,680,-25,False,-15,False,,,
"At Site, Moved in Modernity",,301,43,"Statue Base for the Daduch Themistokles, Son of the Daduch Themistokles, Dedicated by the Demos",Base,Dedication,,-20.0,10,0.0235,True,Greek,37,36,10,10,1,1,2,1,1,2,0,680,-25,False,-15,False,,,
Front of Telesterion,,301,43,"Statue Base for the Daduch Themistokles, Son of the Daduch Themistokles, Dedicated by the Demos",Base,Dedication,,-20.0,10,0.0235,True,Greek,37,36,10,10,1,1,2,1,1,2,0,680,-25,False,-15,False,,,
Front of Telesterion,,301,44,"Statue Base Sophokles, Son of Theophrastos, of Hagnous",Base,Dedication,,-20.0,10,0.0235,True,Greek,38,37,6,6,1,0,2,1,1,2,0,681,-25,False,-15,False,,,
Beyond Immediate Family,,301,44,"Statue Base Sophokles, Son of Theophrastos, of Hagnous",Base,Dedication,,-20.0,10,0.0235,True,Greek,38,37,6,6,1,0,2,1,1,2,0,681,-25,False,-15,False,,,
