"ID","Label","Start","Stop","Class","Type","Origin","Gender","Athenian with Roman Citizenship","Family","Extended","Deme"
2166,"Kl. Alkia",65,350.0,"Person","","Athenian","Female","TRUE","Herodian","Herodian-Eukleid","Marathon"
2271,"D. Iun. Menneas",150,350.0,"Person","","Athenian","Male","TRUE","","",""
2063,"Leontios Timarkhou Kephesieos",-25,350.0,"Person","","Athenian","Male","FALSE","","","Kephesia"
1020,"Praxiergidai",,350.0,"Institution","Genos","Athenian","","","","",""
2090,"Mikion Philokratou",-25,350.0,"Person","","Athenian","Male","FALSE","","","Peiraius"
2083,"Aristaikhmos Ammoniou",-25,350.0,"Person","","Athenian","Male","FALSE","","","Anaphlystos"
2357,"Kl. M[.]",191,350.0,"Person","","Athenian","Male","FALSE","","","Pallene"
2299,"Fl. Zenophilos",165,350.0,"Person","","Athenian","Male","TRUE","","","Marathon"
2232,"L. P[?] Husband of Ael. Lysistrate",122,350.0,"Person","","Athenian","Male","TRUE","","",""
1003,"Tribe of Antiochis",,350.0,"Institution","Public","Athenian","","","","",""
2303,"T. Fl. Alkibiades (II)",167,350.0,"Person","","Athenian","Male","TRUE","","","Paiania"
2287,"Calpurnia L. Lepida",155,350.0,"Person","","Roman","Female","FALSE","","",""
2197,"[?] Daughter of [A?]bans Akharneus",50.5,350.0,"Person","","Athenian","Female","FALSE","","","Akharnai"
2365,"Fl. Stephanos",191,350.0,"Person","","Athenian","Male","TRUE","","","Pallene"
2130,"Theophilos Eudoxou",25.5,350.0,"Person","","Athenian","Male","FALSE","","","Eleusis"
2315,"Fl. [.]krateia",166,350.0,"Person","","Athenian","Female","TRUE","","",""
2142,"P. Papinius Statius",50,350.0,"Person","","Roman","Male","FALSE","","",""
2467,"P. Perennios Ptolemaios P. Herenniou",313,350.0,"Person","","Athenian","Male","TRUE","","",""
2093,"Leontios Sophokleous",-25,350.0,"Person","","Athenian","Male","FALSE","Hagnous/Akharnid Daduchs","Hagnous/Akharnid Daduchs","Akharnai"
2471,"Licinius Kallistomakhos",205,350.0,"Person","","Athenian","Male","TRUE","","",""
2435,"T. Fl. Agathonos Peiraieus",250.5,350.0,"Person","","Athenian","Male","TRUE","","","Peiraius"
2075,"Arkhitimos Arkhitimou",-25,350.0,"Person","","Athenian","Male","FALSE","","","Sphettos"
2159,"Kl. Asklepiodoros",55,350.0,"Person","","Athenian","Male","TRUE","","",""
2128,"Polykharmos Polykritos",-6.5,350.0,"Person","","Athenian","Male","FALSE","","",""
2037,"[?] Hierophantis Amphiou",-32.5,350.0,"Person","","Athenian","Female","FALSE","","",""
2054,"Theophrastos Themistokleous",-25,350.0,"Person","","Athenian","Male","FALSE","Hagnous/Akharnid Daduchs","Hagnous/Akharnid Daduchs","Hagnous"
2385,"Nikostratos Nikiou",191,350.0,"Person","","Athenian","Male","FALSE","","","Krioa"
2351,"Demosthenes Anthou",191,350.0,"Person","","Athenian","Male","FALSE","","","Pallene"
2070,"Philemon Philemonos",-25,350.0,"Person","","Athenian","Male","FALSE","","","Melite"
2033,"Dionysios Athenagorou",-37.5,350.0,"Person","","Athenian","Male","FALSE","Athenagoridai","","Melite"
2141,"Kleophatra Iophontos",50,350.0,"Person","","Athenian","Female","FALSE","","","Deiradiotai"
2318,"T. Fl. Menandros Paianieus",166,350.0,"Person","","Athenian","Male","TRUE","","","Paiania"
2371,"Thrasyboulos Artemonos",191,350.0,"Person","","Athenian","Male","FALSE","","","Semakhidai"
2283,"Ana[.]n Krateros",175,350.0,"Person","","Athenian","Male","TRUE","","",""
2281,"Arrian",175,350.0,"Person","","Other Greek","Male","FALSE","","",""
2089,"Seleukos Demeou",-25,350.0,"Person","","Athenian","Male","FALSE","","","Halai Aixonides"
2180,"Ammonios Kholleides",87.5,350.0,"Person","","Athenian","Male","FALSE","","","Kholleidai"
2077,"Dionysodoros Dionysodorou",-25,350.0,"Person","","Athenian","Male","FALSE","","","Deiradiotai"
2139,"Eimertos Polykharmos",25.5,350.0,"Person","","Athenian","Male","FALSE","Eukleid","Herodian-Eukleid","Marathon"
2080,"Demostratos Dionysiou",-25,350.0,"Person","","Athenian","Male","FALSE","","","Pallene"
2225,"[?] Priest",125,350.0,"Person","","Athenian","Male","FALSE","","",""
2356,"Hiero[.]",191,350.0,"Person","","Athenian","Male","FALSE","","","Pallene"
2468,"Xenagoras II  Xenagorou",313,350.0,"Person","","Athenian","Male","FALSE","Praxagorid","Claudii of Melite","Melite"
2207,"Kallikleia",100.5,350.0,"Person","","Athenian","Female","FALSE","","",""
2387,"Iul. Domna",196.5,350.0,"Person","","Other/Uncertain","Female","FALSE","","",""
2069,"Menneos Menneou",-25,350.0,"Person","","Athenian","Male","FALSE","","","Azenia"
2010,"Epiphaneia Hermolykou",-85,350.0,"Person","","Athenian","Female","FALSE","","","Marathon"
2331,"Iul. Kephisodora",170,350.0,"Person","","Athenian","Female","TRUE","Praxagorid","Claudii of Melite",""
2293,"Regilla",155,350.0,"Person","","Roman","Female","FALSE","Herodian","Herodian-Eukleid","Marathon"
2012,"Philemon",-73,350.0,"Person","","Athenian","Male","FALSE","","",""
2123,"Hierophantis Mos[kh.]",13,350.0,"Person","","Athenian","Female","FALSE","","",""
2350,"Ail. Leu. Palleneus",191,350.0,"Person","","Athenian","Male","TRUE","","","Pallene"
2055,"Lamidion Apolexidos",-25,350.0,"Person","","Athenian","Male","FALSE","","","Oion"
2134,"Iulia Augusta",25,350.0,"Person","","Other/Uncertain","Female","FALSE","","",""
2196,"Tryphon Phylasios",50.5,350.0,"Person","","Athenian","Male","FALSE","","","Phlya"
2136,"Praxagoras",25,350.0,"Person","","Athenian","Male","FALSE","","",""
2004,"Diopeithes",-87.5,350.0,"Person","","Athenian","Male","FALSE","","","Halai Aixonides"
2418,"Demetrios Apolloniou",150.5,350.0,"Person","","Athenian","Male","FALSE","","","Marathon"
2272,"Exegete Patron",150,350.0,"Person","","Athenian","Male","FALSE","","",""
2007,"[?] Father",-87.5,350.0,"Person","","Athenian","Male","FALSE","","",""
2175,"Kl. Timothea",97.5,350.0,"Person","","Athenian","Female","TRUE","","","Gargettos"
2393,"Ail. Epilampsis Gelotos",187.5,350.0,"Person","","Athenian","Female","TRUE","","","Phaleron"
2339,"L. Memmius Altar-Priest",170,350.0,"Person","","Athenian","Male","TRUE","","","Thorikos"
2377,"Aim[.]",191,350.0,"Person","","Athenian","Male","FALSE","","","Semakhidai"
2169,"T. Fl. Konon Kononos",77.5,350.0,"Person","","Athenian","Male","TRUE","","","Sounion"
2485,"Aur. Magna II Magnou",217,350.0,"Person","","Athenian","Female","TRUE","","","Pithos"
2008,"[?] Mother",-87.5,350.0,"Person","","Athenian","Female","FALSE","","",""
2290,"P. Ail. Timosthenes",155,350.0,"Person","","Athenian","Male","TRUE","","","Berenikidai"
2518,"Damoteles",275,350.0,"Person","","Athenian","Male","FALSE","","",""
2023,"T. Pinarius",-50,350.0,"Person","","Roman","Male","FALSE","","",""
2001,"Ameinokleia Philanthou",-87.5,350.0,"Person","","Athenian","Female","FALSE","","","Phlya"
2384,"Hygeinos Arkhimhdous",191,350.0,"Person","","Athenian","Male","FALSE","","","Phyrrnesios"
2173,"Kl. Philoxena Patronos",97.5,350.0,"Person","","Athenian","Female","TRUE","","","Melite"
2025,"Sophokles Xenokleous",-50,350.0,"Person","","Athenian","Male","FALSE","","","Akharnai"
2181,"[?] Wife of Ammonios Kholleides",87.5,350.0,"Person","","Athenian","Female","FALSE","","",""
2162,"Iul. Nikanor",60,350.0,"Person","","Other Greek","Male","FALSE","","",""
2051,"Livia Drusilla",-26,350.0,"Person","","Other/Uncertain","Female","FALSE","","",""
2355,"Ai. F[.]",191,350.0,"Person","","Athenian","Male","FALSE","","","Pallene"
2029,"[?] Heath-Initiate",-50,350.0,"Person","","Athenian","Uncertain","FALSE","","",""
2140,"T. Statilius Lamprias",43,350.0,"Person","","Other Greek","Male","FALSE","","",""
1015,"Eumolpidai",,350.0,"Institution","Genos","Athenian","","","","",""
2068,"Aristodemos Argeiou",-25,350.0,"Person","","Athenian","Male","FALSE","","","Trikorysios"
2145,"Athenais Diokleous",50,350.0,"Person","","Athenian","Female","FALSE","Hagnous/Akharnid Daduchs","Hagnous/Akharnid Daduchs","Hagnous"
2398,"Ail. Kallikrates",187.5,350.0,"Person","","Athenian","Male","TRUE","","","Phaleron"
2087,"Alexandros Agathokleous",-25,350.0,"Person","","Athenian","Male","FALSE","","","Leukonion"
1006,"Philoi",,350.0,"Institution","Private","Other/Uncertain","","","","",""
2454,"P. Ail. Herennia",200,350.0,"Person","","Athenian","Female","TRUE","Publii Aelii Dionysii","Publii Aelii Dionysii",""
2022,"[?] Tamias",-61.5,350.0,"Person","","Athenian","Male","FALSE","","",""
2152,"Iulia Agrippina",54.5,350.0,"Person","","Roman","Female","FALSE","","",""
2189,"T. Fl [?]",50.5,350.0,"Person","","Athenian","Uncertain","FALSE","","",""
2044,"Pomponianus Atticus",-40,350.0,"Person","","Roman","Male","FALSE","","",""
2030,"[?] Heath-Initiate",-50,350.0,"Person","","Athenian","Uncertain","FALSE","","",""
2379,"Titios Molossios Alopekethen",191,350.0,"Person","","Athenian","Male","TRUE","","","Alopeke"
2323,"Fl. Apella Hypaipenou",170,350.0,"Person","","Athenian","Female","TRUE","","",""
2223,"Fl. Laodameia Kleitou",112.5,350.0,"Person","","Athenian","Female","TRUE","","","Phlya"
2255,"Annia Aristokleia",145,350.0,"Person","","Athenian","Female","TRUE","","","Kholleidai"
2150,"Statilia [.]",50,350.0,"Person","","Athenian","Female","TRUE","","","Sphettos"
2079,"Apollonios Ktesikleous",-25,350.0,"Person","","Athenian","Male","FALSE","Hagnous/Akharnid Daduchs","Hagnous/Akharnid Daduchs","Akharnai"
2474,"Geta",204,350.0,"Person","","Other/Uncertain","Male","FALSE","","",""
2401,"P. Pom. Hegios",187.5,350.0,"Person","","Athenian","Male","TRUE","","","Phaleron"
2373,"Epitunkhanon Epitunkhanonos",191,350.0,"Person","","Athenian","Male","FALSE","","","Semakhidai"
2158,"Klaudia Philippe",55,350.0,"Person","","Athenian","Female","TRUE","","","Pallene"
2202,"[.]okleia wife of Metrodoros",100.5,350.0,"Person","","Athenian","Female","FALSE","","",""
2457,"P. Ail. Dionysos",200,350.0,"Person","","Athenian","Male","TRUE","Publii Aelii Dionysii","Publii Aelii Dionysii",""
2236,"T. Vipsanius [.] Flavianos",132.5,350.0,"Person","","Athenian","Male","TRUE","","","Kephesia"
2082,"Menandros Demokharous",-25,350.0,"Person","","Athenian","Male","FALSE","","","Azenia"
2133,"Papios Marathonios",20,350.0,"Person","","Other/Uncertain","Male","FALSE","","","Marathon"
2311,"Agothokles Marathonios",165,350.0,"Person","","Athenian","Male","FALSE","","","Marathon"
2106,"Polyainos Nikandrou",-13,350.0,"Person","","Athenian","Male","FALSE","","","Sounion"
2288,"Sergius Calpurnius Scipio Orfitus",155,350.0,"Person","","Roman","Male","FALSE","","",""
2104,"[?] Hearth-Initiate Themistokleous",-13,350.0,"Person","","Athenian","Male","FALSE","Hagnous/Akharnid Daduchs","Hagnous/Akharnid Daduchs","Hagnous"
2073,"Sarapion Diokleous",-25,350.0,"Person","","Athenian","Male","FALSE","","","Melite"
2101,"Hierokleides",-25,350.0,"Person","","Athenian","Male","FALSE","Hagnous/Akharnid Daduchs","Hagnous/Akharnid Daduchs",""
2081,"Timosthenes Timarkhou",-25,350.0,"Person","","Athenian","Male","FALSE","","","Kephesia"
2329,"Kl. Lysiades",170,350.0,"Person","","Athenian","Male","TRUE","Leonid","Claudii of Melite",""
2058,"Apolexis II",-25,350.0,"Person","","Athenian","Male","FALSE","","","Oion"
2164,"[?] Imperial Priest",99,350.0,"Person","","Athenian","Male","FALSE","","",""
2294,"Appius",160,350.0,"Person","","Roman","Male","FALSE","Herodian","Herodian-Eukleid","Marathon"
2167,"T. Fl. Sophokles T. Fl. Kononos",75,350.0,"Person","","Athenian","Male","TRUE","","","Sounion"
2226,"Ti. Kl. Herodes Attikos Kl. Attikou",115,350.0,"Person","","Athenian","Male","TRUE","Herodian","Herodian-Eukleid","Marathon"
2241,"Emperor Hadrian",132,350.0,"Person","","Other/Uncertain","Male","FALSE","","",""
2280,"Klementiane",175,350.0,"Person","","Athenian","Female","TRUE","","",""
2021,"Timothea Medeiou",-70,350.0,"Person","","Athenian","Female","FALSE","Medeiotes","","Peiraius"
2221,"Hierophantis Perikleous",112.5,350.0,"Person","","Athenian","Female","FALSE","","","Oion"
2381,"Dephilos Khareisiou",191,350.0,"Person","","Athenian","Male","FALSE","","","Semakhidai"
2057,"Ladameia Lysandrou",-25,350.0,"Person","","Athenian","Female","FALSE","","","Peiraius"
2099,"Antiphon",-25,350.0,"Person","","Athenian","Male","FALSE","Hagnous/Akharnid Daduchs","Hagnous/Akharnid Daduchs","Hagnous"
2486,"Aur. Paramona Paramonou",217,350.0,"Person","","Athenian","Female","TRUE","","","Lamptrai"
2378,"Aim[.]",191,350.0,"Person","","Athenian","Male","FALSE","","","Semakhidai"
2061,"Diotimos Diodorou",-25,350.0,"Person","","Athenian","Male","FALSE","","","Halai Aixonides"
