"ID";"Label";"Start";"Stop";"Class";"Type";"Origin";"Gender";"Athenian with Roman Citizenship";"Family";"Extended";"Deme"
2287;"Calpurnia L. Lepida";155;350.0;"Person";"";"Roman";"Female";"FALSE";"";"";""
2130;"Theophilos Eudoxou";25.5;350.0;"Person";"";"Athenian";"Male";"FALSE";"";"";"Eleusis"
2142;"P. Papinius Statius";50;350.0;"Person";"";"Roman";"Male";"FALSE";"";"";""
2386;"Emperor Septimius Severus";196.5;350.0;"Person";"";"Other/Uncertain";"Male";"FALSE";"";"";""
2032;"[?] Daduch from Hagnous";-40;350.0;"Person";"";"Athenian";"Male";"FALSE";"Hagnous/Akharnid Daduchs";"Hagnous/Akharnid Daduchs";"Hagnous"
2405;"Daughter of T. Fl. Leosthenes II";187.5;350.0;"Person";"";"Athenian";"Female";"TRUE";"";"";"Paiania"
2471;"Licinius Kallistomakhos";205;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";""
2177;"Kl. [?] Father of Seilianos";97.5;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";""
2176;"G. Kl. Seilianos Polykritos";97.5;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";""
2174;"T. Kl. Lysiades Patronos";97.5;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";"Melite"
2159;"Kl. Asklepiodoros";55;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";""
2128;"Polykharmos Polykritos";-6.5;350.0;"Person";"";"Athenian";"Male";"FALSE";"";"";""
2037;"[?] Hierophantis Amphiou";-32.5;350.0;"Person";"";"Athenian";"Female";"FALSE";"";"";""
2054;"Theophrastos Themistokleous";-25;350.0;"Person";"";"Athenian";"Male";"FALSE";"Hagnous/Akharnid Daduchs";"Hagnous/Akharnid Daduchs";"Hagnous"
2171;"P. Fulvius Maximos Sounieus";85;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";"Sounion"
2301;"Ail. Kh[?]";165;350.0;"Person";"";"Athenian";"Uncertain";"TRUE";"";"";""
2033;"Dionysios Athenagorou";-37.5;350.0;"Person";"";"Athenian";"Male";"FALSE";"Athenagoridai";"";"Melite"
2156;"Ti. Kl. Demostratos";55;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";"Sounion"
2318;"T. Fl. Menandros Paianieus";166;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";"Paiania"
2168;"Fl. Sophia";75;350.0;"Person";"";"Athenian";"Female";"TRUE";"";"";"Sounion"
2503;"Casianus Hierokeryx";236;350.0;"Person";"";"Athenian";"Male";"TRUE";"Casiani of Steiria";"Casiani of Steiria";"Steiria"
2178;"Kl. [?] Mother of Seilianos";97.5;350.0;"Person";"";"Athenian";"Female";"TRUE";"";"";""
2283;"Ana[.]n Krateros";175;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";""
2091;"Themistokles II Theophrastou";-25;350.0;"Person";"";"Athenian";"Male";"FALSE";"Hagnous/Akharnid Daduchs";"Hagnous/Akharnid Daduchs";"Hagnous"
2219;"[?] Woman";150.5;350.0;"Person";"";"Athenian";"Female";"FALSE";"";"";""
2139;"Eimertos Polykharmos";25.5;350.0;"Person";"";"Athenian";"Male";"FALSE";"Eukleid";"Herodian-Eukleid";"Marathon"
2225;"[?] Priest";125;350.0;"Person";"";"Athenian";"Male";"FALSE";"";"";""
2138;"Polykharmos Eukleous";33.5;350.0;"Person";"";"Athenian";"Male";"FALSE";"Eukleid";"Herodian-Eukleid";"Marathon"
2254;"Iun. Patron";145;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";"Berenikidai"
2468;"Xenagoras II  Xenagorou";313;350.0;"Person";"";"Athenian";"Male";"FALSE";"Praxagorid";"Claudii of Melite";"Melite"
2201;"[?] Daughter of [.]dous";100.5;350.0;"Person";"";"Athenian";"Female";"FALSE";"";"";""
2517;"Aerarius Sospatros, Daduch";275;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";""
2240;"Thrasyllos Kholleides";135;350.0;"Person";"";"Athenian";"Male";"FALSE";"";"";"Kholleidai"
2207;"Kallikleia";100.5;350.0;"Person";"";"Athenian";"Female";"FALSE";"";"";""
2238;"Polemon Heroxenou";137.5;350.0;"Person";"";"Athenian";"Male";"FALSE";"";"";"Marathon"
2463;"M. Aur. Prosdektos Pistokrates";200;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";"Kephale"
2010;"Epiphaneia Hermolykou";-85;350.0;"Person";"";"Athenian";"Female";"FALSE";"";"";"Marathon"
2256;"Annius Thrasyllos";145;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";"Kholleidai"
1005;"Sophiai";;350.0;"Institution";"Private";"Other/Uncertain";"";"";"";"";""
2331;"Iul. Kephisodora";170;350.0;"Person";"";"Athenian";"Female";"TRUE";"Praxagorid";"Claudii of Melite";""
2293;"Regilla";155;350.0;"Person";"";"Roman";"Female";"FALSE";"Herodian";"Herodian-Eukleid";"Marathon"
2328;"Ail. Kephisodora";170;350.0;"Person";"";"Athenian";"Female";"TRUE";"Leonid";"Claudii of Melite";""
2012;"Philemon";-73;350.0;"Person";"";"Athenian";"Male";"FALSE";"";"";""
2123;"Hierophantis Mos[kh.]";13;350.0;"Person";"";"Athenian";"Female";"FALSE";"";"";""
2147;"Seilon Apolloniou";50;350.0;"Person";"";"Athenian";"Male";"FALSE";"";"";"Melite"
2129;"Emperor Tiberius";-6.5;350.0;"Person";"";"Other/Uncertain";"Male";"FALSE";"";"";""
2055;"Lamidion Apolexidos";-25;350.0;"Person";"";"Athenian";"Male";"FALSE";"";"";"Oion"
2134;"Iulia Augusta";25;350.0;"Person";"";"Other/Uncertain";"Female";"FALSE";"";"";""
2196;"Tryphon Phylasios";50.5;350.0;"Person";"";"Athenian";"Male";"FALSE";"";"";"Phlya"
2004;"Diopeithes";-87.5;350.0;"Person";"";"Athenian";"Male";"FALSE";"";"";"Halai Aixonides"
2452;"P. Ail. Herennia P. Ail. Apolloniou";200;350.0;"Person";"";"Athenian";"Female";"TRUE";"Publii Aelii Dionysii";"Publii Aelii Dionysii";""
2122;"Pammenes Pammenous";13;350.0;"Person";"";"Athenian";"Male";"FALSE";"";"";"Marathon"
2418;"Demetrios Apolloniou";150.5;350.0;"Person";"";"Athenian";"Male";"FALSE";"";"";"Marathon"
2007;"[?] Father";-87.5;350.0;"Person";"";"Athenian";"Male";"FALSE";"";"";""
2056;"Apolexis I";-25;350.0;"Person";"";"Athenian";"Male";"FALSE";"";"";"Oion"
2393;"Ail. Epilampsis Gelotos";187.5;350.0;"Person";"";"Athenian";"Female";"TRUE";"";"";"Phaleron"
2339;"L. Memmius Altar-Priest";170;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";"Thorikos"
2046;"Sempronia";-39.5;350.0;"Person";"";"Roman";"Female";"FALSE";"";"";""
2470;"Praxagora [?]";313;350.0;"Person";"";"Athenian";"Female";"FALSE";"Praxagorid";"Claudii of Melite";"Melite"
2310;"M. Aur. Miltiades";165;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";"Marathon"
2258;"Nummia Bassa";145;350.0;"Person";"";"Athenian";"Female";"TRUE";"";"";"Gargettos"
2169;"T. Fl. Konon Kononos";77.5;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";"Sounion"
2485;"Aur. Magna II Magnou";217;350.0;"Person";"";"Athenian";"Female";"TRUE";"";"";"Pithos"
2008;"[?] Mother";-87.5;350.0;"Person";"";"Athenian";"Female";"FALSE";"";"";""
2290;"P. Ail. Timosthenes";155;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";"Berenikidai"
2206;"Kallisto Kallimakhou";100.5;350.0;"Person";"";"Athenian";"Female";"FALSE";"";"";""
2023;"T. Pinarius";-50;350.0;"Person";"";"Roman";"Male";"FALSE";"";"";""
2001;"Ameinokleia Philanthou";-87.5;350.0;"Person";"";"Athenian";"Female";"FALSE";"";"";"Phlya"
2173;"Kl. Philoxena Patronos";97.5;350.0;"Person";"";"Athenian";"Female";"TRUE";"";"";"Melite"
2302;"T. Kl. Hierophant Alkibiadou";167;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";"Paiania"
2025;"Sophokles Xenokleous";-50;350.0;"Person";"";"Athenian";"Male";"FALSE";"";"";"Akharnai"
2181;"[?] Wife of Ammonios Kholleides";87.5;350.0;"Person";"";"Athenian";"Female";"FALSE";"";"";""
2162;"Iul. Nikanor";60;350.0;"Person";"";"Other Greek";"Male";"FALSE";"";"";""
2051;"Livia Drusilla";-26;350.0;"Person";"";"Other/Uncertain";"Female";"FALSE";"";"";""
2533;"Emperor Maximianus";295.5;350.0;"Person";"";"Other/Uncertain";"Male";"FALSE";"";"";""
2029;"[?] Heath-Initiate";-50;350.0;"Person";"";"Athenian";"Uncertain";"FALSE";"";"";""
2140;"T. Statilius Lamprias";43;350.0;"Person";"";"Other Greek";"Male";"FALSE";"";"";""
1015;"Eumolpidai";;350.0;"Institution";"Genos";"Athenian";"";"";"";"";""
2145;"Athenais Diokleous";50;350.0;"Person";"";"Athenian";"Female";"FALSE";"Hagnous/Akharnid Daduchs";"Hagnous/Akharnid Daduchs";"Hagnous"
2163;"[?] Emperor";99;350.0;"Person";"";"Other/Uncertain";"Male";"FALSE";"";"";""
2454;"P. Ail. Herennia";200;350.0;"Person";"";"Athenian";"Female";"TRUE";"Publii Aelii Dionysii";"Publii Aelii Dionysii";""
2022;"[?] Tamias";-61.5;350.0;"Person";"";"Athenian";"Male";"FALSE";"";"";""
2152;"Iulia Agrippina";54.5;350.0;"Person";"";"Roman";"Female";"FALSE";"";"";""
2189;"T. Fl [?]";50.5;350.0;"Person";"";"Athenian";"Uncertain";"FALSE";"";"";""
2044;"Pomponianus Atticus";-40;350.0;"Person";"";"Roman";"Male";"FALSE";"";"";""
2165;"Ti. Kl. Hipparkhos Herodou";65;350.0;"Person";"";"Athenian";"Male";"TRUE";"Herodian";"Herodian-Eukleid";"Marathon"
2030;"[?] Heath-Initiate";-50;350.0;"Person";"";"Athenian";"Uncertain";"FALSE";"";"";""
2002;"Theophilos";-87.5;350.0;"Person";"";"Athenian";"Male";"FALSE";"";"";"Halai Aixonides"
2229;"Cocceius Censorinus";115;350.0;"Person";"";"Roman";"Male";"FALSE";"";"";""
2298;"Fl. Xenion";165;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";"Marathon"
2223;"Fl. Laodameia Kleitou";112.5;350.0;"Person";"";"Athenian";"Female";"TRUE";"";"";"Phlya"
2431;"Poll[io]n[a?], Hearth-Initiate";150.5;350.0;"Person";"";"Athenian";"Female";"TRUE";"";"";""
2255;"Annia Aristokleia";145;350.0;"Person";"";"Athenian";"Female";"TRUE";"";"";"Kholleidai"
2198;"[?] Kanephoros";100.5;350.0;"Person";"";"Athenian";"Male";"FALSE";"";"";""
2150;"Statilia [.]";50;350.0;"Person";"";"Athenian";"Female";"TRUE";"";"";"Sphettos"
2434;"T. Fl. Ateimetos Peiraieus";250.5;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";"Peiraius"
2432;"Son or Daughter of a [N]um[ius]";150.5;350.0;"Person";"";"Athenian";"Uncertain";"TRUE";"";"";""
2108;"[.]kleides";-50.5;350.0;"Person";"";"Athenian";"Male";"FALSE";"";"";""
2286;"Sergius Salvidius Scipio Orfitus";155;350.0;"Person";"";"Roman";"Male";"FALSE";"";"";""
2236;"T. Vipsanius [.] Flavianos";132.5;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";"Kephesia"
2121;"Atheno Niketou";0;350.0;"Person";"";"Athenian";"Male";"FALSE";"";"";"Hagnous"
2172;"P. Fulvius Metrodoros";85;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";"Sounion"
2311;"Agothokles Marathonios";165;350.0;"Person";"";"Athenian";"Male";"FALSE";"";"";"Marathon"
2477;"Kl. Menandra II";210;350.0;"Person";"";"Athenian";"Female";"TRUE";"Praxagorid";"Claudii of Melite";"Melite"
2106;"Polyainos Nikandrou";-13;350.0;"Person";"";"Athenian";"Male";"FALSE";"";"";"Sounion"
2288;"Sergius Calpurnius Scipio Orfitus";155;350.0;"Person";"";"Roman";"Male";"FALSE";"";"";""
2104;"[?] Hearth-Initiate Themistokleous";-13;350.0;"Person";"";"Athenian";"Male";"FALSE";"Hagnous/Akharnid Daduchs";"Hagnous/Akharnid Daduchs";"Hagnous"
2300;"Emperor L. Verus";162;350.0;"Person";"";"Other/Uncertain";"Male";"FALSE";"";"";""
2264;"Emperor Marcus Aurelius";153;350.0;"Person";"";"Other/Uncertain";"Male";"FALSE";"";"";""
2182;"Thrasyllos Ammoniou";87.5;350.0;"Person";"";"Athenian";"Male";"FALSE";"";"";"Kholleidai"
2164;"[?] Imperial Priest";99;350.0;"Person";"";"Athenian";"Male";"FALSE";"";"";""
2167;"T. Fl. Sophokles T. Fl. Kononos";75;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";"Sounion"
2052;"Augustus";-26;350.0;"Person";"";"Other/Uncertain";"Male";"FALSE";"";"";""
2402;"P. Pom. Hegios II";187.5;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";"Phaleron"
2005;"Eurydike";-87.5;350.0;"Person";"";"Athenian";"Female";"FALSE";"";"";"Halai Aixonides"
2226;"Ti. Kl. Herodes Attikos Kl. Attikou";115;350.0;"Person";"";"Athenian";"Male";"TRUE";"Herodian";"Herodian-Eukleid";"Marathon"
2312;"T. Fl. Euthykomas";166;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";"Paiania"
