Inscription ID,Feature,Details,Uncertain,Notes
514,Filiation Symbol or Nomina Suprabar,,,
514,Southern Wall,,,
515,Removed from Site,,,
516,Bronze Cuttings,,TRUE,
516,Path to Telesterion,,,
517,Standard Abbreviation,,,
518,Standard Abbreviation,,,
519,Standard Abbreviation,,,
519,Missing,,,
520,Office(s) of Relative(s),,,
520,Beyond Immediate Family,,,
520,Standard Abbreviation,,,
520,Filiation Symbol or Nomina Suprabar,,,
520,Child Size Cuttings,,,
520,"Cuttings for Staff, Torch, or Other",,,
520,Bronze Cuttings,,,
521,Office(s) of Relative(s),,,
521,Beyond Immediate Family,,,
521,Standard Abbreviation,,,
521,Part of Praenomen Dropped,,,
521,Filiation Symbol or Nomina Suprabar,,,
522,No Abbreviation,,,
522,Reused in Architecture,,,
523,Office(s) of Relative(s),,,
523,Beyond Immediate Family,,,
523,Standard Abbreviation,,,
523,Filiation Symbol or Nomina Suprabar,,,
523,Full Size Cuttings,,,
523,Bronze Cuttings,,,
523,Front of Telesterion,,,
523,"At Site, Moved in Modernity",,,
524,Standard Abbreviation,,,
524,Filiation Symbol or Nomina Suprabar,,,
524,Bronze Cuttings,,,
525,Standard Abbreviation,,,
525,Filiation Symbol or Nomina Suprabar,,,
529,???? ?? ???????,,,
529,Coronae or Bucrania,,,
529,Missing,,,
530,Relief,,,
532,Outer Courtyard,,,
532,Front of Telesterion,,,
532,"At Site, Moved in Modernity",,,
532,Reused in Architecture,,,
533,No Abbreviation,,,
549,"At Site, Moved in Modernity",,,
551,Missing,,,
554,"At Site, Moved in Modernity",,,
555,"At Site, Moved in Modernity",,,
557,"At Site, Moved in Modernity",,,
572,Altered or Recut,,,
574,???' ?????????????,,,
577,???? ?? ?????????,,,
585,Removed from Site,,,
587,Beyond Immediate Family,,,
587,???? ?? ?????????,,,
587,Non-Standard Abbreviation,,,
587,Filiation Symbol or Nomina Suprabar,,,
587,Reused in Architecture,,,
588,???' ?????????????,,,
588,???? ?? ?????????,,,
588,Reused in Architecture,,,
589,Outer Courtyard,,,
589,Missing,,,
591,Missing,,,
591,Removed from Site,,,
597,Missing,,,
612,Bronze Cuttings,,,
612,"At Site, Moved in Modernity",,,
616,Removed from Site,,,
621,Office(s) of Relative(s),,,
621,Beyond Immediate Family,,,
621,Famous Decent,,,
621,Mix of Abbreviation Styles,,,
621,Filiation Symbol or Nomina Suprabar,,,
621,Child Size Cuttings,,,
621,"Cuttings for Staff, Torch, or Other",,,
621,Bronze Cuttings,,,
621,Path to Telesterion,,,
621,Reused in Architecture,,,
622,Office(s) of Relative(s),,,
622,Beyond Immediate Family,,,
622,Non-Standard Abbreviation,,,
622,Upper Terrace,,,
622,Altered or Recut,,,
623,Missing,,,
624,Front of Telesterion,,,
624,Missing,,,
625,Beyond Immediate Family,,,
625,Standard Abbreviation,,,
625,Coronae or Bucrania,,,
625,Upper Terrace,,,
625,"At Site, Moved in Modernity",,,
626,Office(s) of Relative(s),,,
626,Non-Standard Abbreviation,,,
626,Path to Telesterion,,,
627,No Abbreviation,,,
628,Unexpressed Nomina,,,
628,Removed from Site,,,
629,Office(s) of Relative(s),,,
