ID,Name,Origin,Gender,Athenian Citizen,Roman Citizen,Family,Extended,Praenomen,Nomen,Cognomen,Onomos,Patronym,Demotic,Genos,Uncertain Person,RCA,PA,PAA,LGPN,Notes
2251,L. Vipsanius Lailianos,Athens,Male,TRUE,TRUE,,TBD,Lucius,Vipsanius,,Lailianos,,,,FALSE,,,,,
2252,[?] Relative of L. Vipsanius Aiolion,Athens,Uncertain,TRUE,TRUE,,TBD,Lucius,Vipsanius,,,,,,TRUE,,,,,
2253,Iunia [?] Iun. Patronos,Athens,Female,TRUE,TRUE,,TBD,,Iunia,,,Patronos,,,TRUE,,,,,
2254,Iun. Patron,Athens,Male,TRUE,TRUE,,TBD,,Iunius,,Patron,,,,FALSE,,,,,
2255,Annia Aristokleia,Athens,Female,TRUE,TRUE,,TBD,,Annia,,Aristokleia,,,,FALSE,,,,,
2256,Annius Thrasyllos,Athens,Male,TRUE,TRUE,,TBD,,Annius,,Thrasyllos,,,,FALSE,,,,,
2257,L. Nummius Andreas Menidos,Athens,Male,TRUE,TRUE,,Nummii of Bassa,Lucius,Nummius,Andreas,Menidos,,,,FALSE,,,,,
2258,Nummia Bassa,Athens,Female,TRUE,TRUE,,Nummii of Bassa,,Nummia,,,,Bassa,,FALSE,,,,,
2259,L. Nummius Hierokeryx,Athens,Male,TRUE,TRUE,,Nummii of Bassa,Lucius,Nummius,,,,,,FALSE,,,,,
2260,Nummia Kleo,Athens,Female,TRUE,TRUE,,Nummii of Bassa,,Nummia,,Kleo,,,,FALSE,,,,,
2261,Ti. Kl. Attikos Marathonios,Athens,Male,TRUE,TRUE,,Herodian,Tiberius,Clauius,Atticus,Attikos,,Marathon,,FALSE,,,,,
2262,Annia Faustina,Rome,Female,FALSE,TRUE,,Imperial,,Annia,Faustina,,,,,FALSE,,,,,
2263,Emperor Antoninus Pius,Rome,Male,FALSE,TRUE,,Imperial,,Antoninus,Pius,,,,,FALSE,,,,,
2264,Emperor Marcus Aurelius,Rome,Male,FALSE,TRUE,,Imperial,Marcus,Aurelius,,,,,,FALSE,,,,,
2265,Domitia Lucilla,Rome,Female,FALSE,TRUE,,Imperial,,Domitia,Lucilla,,,,,FALSE,,,,,
2266,Nummius Nigreinos,Athens,Male,TRUE,TRUE,,Nummii of Bassa,,Nummius,,Nigreinos,,,,FALSE,,,,,
2267,Menandra of Ephesus,Athens,Female,TRUE,FALSE,,,,,,Menandra,,,,FALSE,,,,,
2268,[?] Relative of Mindios Amynos,Athens,Uncertain,TRUE,FALSE,,,,,,,,,,TRUE,,,,,
2269,G. Kl. Titianos,Athens,Male,TRUE,TRUE,,,Gaius,Claudius,,Titianos,Titianos,,,FALSE,,,,,
2270,Philipe Kl. Demostratou,Athens,Female,TRUE,TRUE,Demostratid,Claudii of Melite,,Claudia,,Philipe,Demostratou,Pallene,,FALSE,95,,,,"Wife of Ti. Kl. Nikoteles (93), mother of Kl. Demostratos (94)"
2271,D. Iun. Menneas,Athens,Male,TRUE,TRUE,,,,,,Patron,Menneas,,,FALSE,,,,,
2272,Exegete Patron,Athens,Male,TRUE,FALSE,,,,,,,Patron,Gargettos,,FALSE,,,,,
