ID,Name,Origin,Gender,Athenian Citizen,Roman Citizen,Family,Extended,Praenomen,Nomen,Cognomen,Onomos,Patronym,Demotic,Genos,Uncertain Person,RCA,PA,PAA,LGPN,Notes
2232,L. P[?] Husband of Ael. Lysistrate,Athens,Male,TRUE,TRUE,,TBD,Lucius,,,,,,,TRUE,,,,,
2233,Athenaios Epaphrodeitos Athenaiou,Athens,Male,TRUE,FALSE,,TBD,,,,Athenaios Epaphrodeitos,Athenaiou,,,FALSE,,,,,
2234,Athenaios Perikonikos,Athens,Male,TRUE,FALSE,,,,,,Athenaios,,,,FALSE,,,,,
2235,Vipsania Lailiane,Athens,Female,TRUE,TRUE,,,,Vipsania,,Lailiane,,,,FALSE,,,,,
2236,T. Vipsanius [.] Flavianos,Athens,Male,TRUE,TRUE,,,Titus,Vipanius,,Flavianos,,,,FALSE,,,,,
2237,[?] Son of Heroxenos Marathonios,Athens,Male,TRUE,FALSE,,,,,,,Heroxenou,Marathon,Keryx,TRUE,,,,,
2238,Polemon Heroxenou,Athens,Male,TRUE,FALSE,,,,,,Polemon,Heroxenou,Marathon,Keryx,FALSE,,,,,
2239,G. Memmius Sabeinos Peisandros,Athens,Male,TRUE,TRUE,,,Gaius,Memmius,Sabeinos,Peisandros,,,,FALSE,,,,,
2240,Thrasyllos Kholleides,Athens,Male,TRUE,FALSE,,,,,,Thrasyllos,,Kholleidai,,FALSE,,,,,
2241,Emperor Hadrian,Rome,Male,FALSE,TRUE,,Imperial,,Hadrian,,,,,,FALSE,,,,,
2242,Olympius,Athens,Male,TRUE,FALSE,,,,,,Olympius,,,,FALSE,,,,,
2243,[?] Emperor,Rome,Male,FALSE,TRUE,,Imperial,,,,,,,,TRUE,,,,,
2244,[?] Emperor,Rome,Male,FALSE,TRUE,,Imperial,,,,,,,,TRUE,,,,,
2245,[?] Emperor,Rome,Male,FALSE,TRUE,,Imperial,,,,,,,,TRUE,,,,,
2246,Panhellenios,Rome,Male,FALSE,TRUE,,Imperial,,,,,,,,TRUE,,,,,
2247,Hierophantis Daughter of Demetrios,Athens,Female,TRUE,FALSE,,,,,,,Demetriou,,,FALSE,,,,,
2248,Demetrios,Athens,Male,TRUE,FALSE,,,,,,Demetrios,,,,FALSE,,,,,
2249,Marcianus,Rome,Male,FALSE,TRUE,,,,,Marcianus,,,,,FALSE,,,,,
2250,L. Vipsanius Aiolion,Athens,Male,TRUE,TRUE,,TBD,Lucius,Vipsanius,,Aiolion,,,,FALSE,,,,,
